year,month,pr_mm,tas_c,model,name,ssp
2015,1,66.57,2.822,ACCESS-CM2,Edirne,ssp245
2015,2,131.078,3.953,ACCESS-CM2,Edirne,ssp245
2015,3,52.773,7.31,ACCESS-CM2,Edirne,ssp245
2015,4,34.427,15.115,ACCESS-CM2,Edirne,ssp245
2015,5,25.042,21.05,ACCESS-CM2,Edirne,ssp245
2015,6,64.991,25.556,ACCESS-CM2,Edirne,ssp245
2015,7,94.633,26.38,ACCESS-CM2,Edirne,ssp245
2015,8,17.014,25.708,ACCESS-CM2,Edirne,ssp245
2015,9,37.792,19.759,ACCESS-CM2,Edirne,ssp245
2015,10,33.013,12.509,ACCESS-CM2,Edirne,ssp245
2015,11,169.46,9.327,ACCESS-CM2,Edirne,ssp245
2015,12,98.852,8.349,ACCESS-CM2,Edirne,ssp245
2016,1,93.382,0.729,ACCESS-CM2,Edirne,ssp245
2016,2,26.432,4.191,ACCESS-CM2,Edirne,ssp245
2016,3,11.826,10.143,ACCESS-CM2,Edirne,ssp245
2016,4,104.987,11.588,ACCESS-CM2,Edirne,ssp245
2016,5,12.161,18.337,ACCESS-CM2,Edirne,ssp245
2016,6,5.452,24.296,ACCESS-CM2,Edirne,ssp245
2016,7,72.837,28.198,ACCESS-CM2,Edirne,ssp245
2016,8,6.678,26.434,ACCESS-CM2,Edirne,ssp245
2016,9,18.356,22.535,ACCESS-CM2,Edirne,ssp245
2016,10,94.47,14.11,ACCESS-CM2,Edirne,ssp245
2016,11,13.784,12.117,ACCESS-CM2,Edirne,ssp245
2016,12,78.357,7.329,ACCESS-CM2,Edirne,ssp245
2017,1,76.043,4.625,ACCESS-CM2,Edirne,ssp245
2017,2,7.208,2.883,ACCESS-CM2,Edirne,ssp245
2017,3,10.194,9.039,ACCESS-CM2,Edirne,ssp245
2017,4,72.156,12.114,ACCESS-CM2,Edirne,ssp245
2017,5,33.524,19.517,ACCESS-CM2,Edirne,ssp245
2017,6,49.389,25.352,ACCESS-CM2,Edirne,ssp245
2017,7,2.497,26.422,ACCESS-CM2,Edirne,ssp245
2017,8,22.068,26.606,ACCESS-CM2,Edirne,ssp245
2017,9,13.094,23.652,ACCESS-CM2,Edirne,ssp245
2017,10,48.88,16.239,ACCESS-CM2,Edirne,ssp245
2017,11,28.398,9.423,ACCESS-CM2,Edirne,ssp245
2017,12,119.645,7.673,ACCESS-CM2,Edirne,ssp245
2018,1,61.703,7.628,ACCESS-CM2,Edirne,ssp245
2018,2,36.167,8.433,ACCESS-CM2,Edirne,ssp245
2018,3,27.007,10.153,ACCESS-CM2,Edirne,ssp245
2018,4,113.426,13.464,ACCESS-CM2,Edirne,ssp245
2018,5,27.055,19.608,ACCESS-CM2,Edirne,ssp245
2018,6,35.708,24.056,ACCESS-CM2,Edirne,ssp245
2018,7,47.249,25.805,ACCESS-CM2,Edirne,ssp245
2018,8,63.74,25.511,ACCESS-CM2,Edirne,ssp245
2018,9,0.224,22.837,ACCESS-CM2,Edirne,ssp245
2018,10,55.799,14.789,ACCESS-CM2,Edirne,ssp245
2018,11,54.655,12.373,ACCESS-CM2,Edirne,ssp245
2018,12,54.896,7.853,ACCESS-CM2,Edirne,ssp245
2019,1,126.016,0.865,ACCESS-CM2,Edirne,ssp245
2019,2,15.663,4.354,ACCESS-CM2,Edirne,ssp245
2019,3,68.153,10.783,ACCESS-CM2,Edirne,ssp245
2019,4,90.384,14.195,ACCESS-CM2,Edirne,ssp245
2019,5,17.325,17.842,ACCESS-CM2,Edirne,ssp245
2019,6,63.738,24.243,ACCESS-CM2,Edirne,ssp245
2019,7,17.252,27.491,ACCESS-CM2,Edirne,ssp245
2019,8,29.155,25.237,ACCESS-CM2,Edirne,ssp245
2019,9,62.721,22.279,ACCESS-CM2,Edirne,ssp245
2019,10,46.235,15.069,ACCESS-CM2,Edirne,ssp245
2019,11,31.456,11.073,ACCESS-CM2,Edirne,ssp245
2019,12,120.37,7.246,ACCESS-CM2,Edirne,ssp245
2020,1,155.392,4.392,ACCESS-CM2,Edirne,ssp245
2020,2,43.637,7.459,ACCESS-CM2,Edirne,ssp245
2020,3,37.888,6.111,ACCESS-CM2,Edirne,ssp245
2020,4,52.108,13.455,ACCESS-CM2,Edirne,ssp245
2020,5,27.331,19.144,ACCESS-CM2,Edirne,ssp245
2020,6,81.925,24.604,ACCESS-CM2,Edirne,ssp245
2020,7,49.795,25.668,ACCESS-CM2,Edirne,ssp245
2020,8,5.796,27.376,ACCESS-CM2,Edirne,ssp245
2020,9,19.076,22.384,ACCESS-CM2,Edirne,ssp245
2020,10,39.617,15.226,ACCESS-CM2,Edirne,ssp245
2020,11,85.483,12.257,ACCESS-CM2,Edirne,ssp245
2020,12,42.384,9.269,ACCESS-CM2,Edirne,ssp245
2021,1,71.083,5.35,ACCESS-CM2,Edirne,ssp245
2021,2,113.29,6.689,ACCESS-CM2,Edirne,ssp245
2021,3,62.192,10.766,ACCESS-CM2,Edirne,ssp245
2021,4,88.852,12.596,ACCESS-CM2,Edirne,ssp245
2021,5,37.822,21.14,ACCESS-CM2,Edirne,ssp245
2021,6,22.522,25.285,ACCESS-CM2,Edirne,ssp245
2021,7,13.392,28.212,ACCESS-CM2,Edirne,ssp245
2021,8,3.499,27.861,ACCESS-CM2,Edirne,ssp245
2021,9,24.791,22.72,ACCESS-CM2,Edirne,ssp245
2021,10,46.642,12.385,ACCESS-CM2,Edirne,ssp245
2021,11,8.469,10.993,ACCESS-CM2,Edirne,ssp245
2021,12,101.461,7.338,ACCESS-CM2,Edirne,ssp245
2022,1,29.233,4.74,ACCESS-CM2,Edirne,ssp245
2022,2,71.225,6.409,ACCESS-CM2,Edirne,ssp245
2022,3,64.945,7.769,ACCESS-CM2,Edirne,ssp245
2022,4,43.512,13.581,ACCESS-CM2,Edirne,ssp245
2022,5,73.024,19.627,ACCESS-CM2,Edirne,ssp245
2022,6,69.602,24.576,ACCESS-CM2,Edirne,ssp245
2022,7,22.755,27.194,ACCESS-CM2,Edirne,ssp245
2022,8,17.277,26.513,ACCESS-CM2,Edirne,ssp245
2022,9,26.84,24.159,ACCESS-CM2,Edirne,ssp245
2022,10,23.972,15.399,ACCESS-CM2,Edirne,ssp245
2022,11,39.186,14.387,ACCESS-CM2,Edirne,ssp245
2022,12,4.15,7.269,ACCESS-CM2,Edirne,ssp245
2023,1,103.217,3.984,ACCESS-CM2,Edirne,ssp245
2023,2,171.921,8.661,ACCESS-CM2,Edirne,ssp245
2023,3,34.956,9.231,ACCESS-CM2,Edirne,ssp245
2023,4,13.491,15.456,ACCESS-CM2,Edirne,ssp245
2023,5,14.59,22.781,ACCESS-CM2,Edirne,ssp245
2023,6,89.948,25.571,ACCESS-CM2,Edirne,ssp245
2023,7,12.434,27.487,ACCESS-CM2,Edirne,ssp245
2023,8,14.706,27.065,ACCESS-CM2,Edirne,ssp245
2023,9,0.944,24.144,ACCESS-CM2,Edirne,ssp245
2023,10,32.335,17.519,ACCESS-CM2,Edirne,ssp245
2023,11,149.797,15.088,ACCESS-CM2,Edirne,ssp245
2023,12,79.577,8.965,ACCESS-CM2,Edirne,ssp245
2024,1,19.84,4.854,ACCESS-CM2,Edirne,ssp245
2024,2,179.512,3.573,ACCESS-CM2,Edirne,ssp245
2024,3,124.223,8.323,ACCESS-CM2,Edirne,ssp245
2024,4,46.172,12.247,ACCESS-CM2,Edirne,ssp245
2024,5,64.081,16.397,ACCESS-CM2,Edirne,ssp245
2024,6,29.327,23.967,ACCESS-CM2,Edirne,ssp245
2024,7,66.15,28.027,ACCESS-CM2,Edirne,ssp245
