model,exp,name,year,month,pr_mm,tas_c
ACCESS-CM2,historical,Edirne,1965,1,20.505,-1.318
ACCESS-CM2,historical,Edirne,1965,2,12.428,1.892
ACCESS-CM2,historical,Edirne,1965,3,57.376,6.977
ACCESS-CM2,historical,Edirne,1965,4,138.819,10.915
ACCESS-CM2,historical,Edirne,1965,5,43.19,15.853
ACCESS-CM2,historical,Edirne,1965,6,80.345,19.678
ACCESS-CM2,historical,Edirne,1965,7,97.924,19.85
ACCESS-CM2,historical,Edirne,1965,8,29.919,22.539
ACCESS-CM2,historical,Edirne,1965,9,8.05,16.996
ACCESS-CM2,historical,Edirne,1965,10,29.987,13.732
ACCESS-CM2,historical,Edirne,1965,11,82.296,2.401
ACCESS-CM2,historical,Edirne,1965,12,71.631,-0.695
ACCESS-CM2,historical,Edirne,1966,1,27.075,-6.482
ACCESS-CM2,historical,Edirne,1966,2,66.884,1.587
ACCESS-CM2,historical,Edirne,1966,3,119.894,4.684
ACCESS-CM2,historical,Edirne,1966,4,103.327,9.462
ACCESS-CM2,historical,Edirne,1966,5,32.938,17.433
ACCESS-CM2,historical,Edirne,1966,6,48.795,20.335
ACCESS-CM2,historical,Edirne,1966,7,13.543,23.887
ACCESS-CM2,historical,Edirne,1966,8,18.878,23.617
ACCESS-CM2,historical,Edirne,1966,9,10.19,13.051
ACCESS-CM2,historical,Edirne,1966,10,2.543,10.383
ACCESS-CM2,historical,Edirne,1966,11,40.411,3.656
ACCESS-CM2,historical,Edirne,1966,12,152.215,-2.785
ACCESS-CM2,historical,Edirne,1967,1,24.417,-5.007
ACCESS-CM2,historical,Edirne,1967,2,14.709,2.905
ACCESS-CM2,historical,Edirne,1967,3,102.33,6.506
ACCESS-CM2,historical,Edirne,1967,4,58.709,8.443
ACCESS-CM2,historical,Edirne,1967,5,79.621,15.54
ACCESS-CM2,historical,Edirne,1967,6,81.867,22.949
ACCESS-CM2,historical,Edirne,1967,7,38.514,25.347
ACCESS-CM2,historical,Edirne,1967,8,11.961,23.349
ACCESS-CM2,historical,Edirne,1967,9,5.49,18.783
ACCESS-CM2,historical,Edirne,1967,10,29.276,9.266
ACCESS-CM2,historical,Edirne,1967,11,90.207,0.604
ACCESS-CM2,historical,Edirne,1967,12,117.567,-3.423
ACCESS-CM2,historical,Edirne,1968,1,104.258,-4.841
ACCESS-CM2,historical,Edirne,1968,2,38.885,-0.131
ACCESS-CM2,historical,Edirne,1968,3,37.583,3.451
ACCESS-CM2,historical,Edirne,1968,4,79.809,10.765
ACCESS-CM2,historical,Edirne,1968,5,44.199,16.14
ACCESS-CM2,historical,Edirne,1968,6,37.785,21.978
ACCESS-CM2,historical,Edirne,1968,7,35.781,24.033
ACCESS-CM2,historical,Edirne,1968,8,9.295,22.91
ACCESS-CM2,historical,Edirne,1968,9,49.705,17.531
ACCESS-CM2,historical,Edirne,1968,10,7.1,9.095
ACCESS-CM2,historical,Edirne,1968,11,93.911,2.913
ACCESS-CM2,historical,Edirne,1968,12,60.337,-0.175
ACCESS-CM2,historical,Edirne,1969,1,33.056,-5.541
ACCESS-CM2,historical,Edirne,1969,2,61.387,-4.48
ACCESS-CM2,historical,Edirne,1969,3,100.179,2.365
ACCESS-CM2,historical,Edirne,1969,4,36.467,10.558
ACCESS-CM2,historical,Edirne,1969,5,51.554,16.037
ACCESS-CM2,historical,Edirne,1969,6,116.704,21.357
ACCESS-CM2,historical,Edirne,1969,7,34.328,23.157
ACCESS-CM2,historical,Edirne,1969,8,34.994,20.987
ACCESS-CM2,historical,Edirne,1969,9,16.311,16.95
ACCESS-CM2,historical,Edirne,1969,10,6.657,13.678
ACCESS-CM2,historical,Edirne,1969,11,110.494,2.327
ACCESS-CM2,historical,Edirne,1969,12,50.345,2.111
ACCESS-CM2,historical,Edirne,1970,1,69.201,-7.13
ACCESS-CM2,historical,Edirne,1970,2,22.949,-2.242
ACCESS-CM2,historical,Edirne,1970,3,94.271,2.914
ACCESS-CM2,historical,Edirne,1970,4,64.505,11.142
ACCESS-CM2,historical,Edirne,1970,5,45.145,17.426
ACCESS-CM2,historical,Edirne,1970,6,70.145,20.975
ACCESS-CM2,historical,Edirne,1970,7,8.904,26.226
ACCESS-CM2,historical,Edirne,1970,8,17.05,21.202
ACCESS-CM2,historical,Edirne,1970,9,19.201,19.707
ACCESS-CM2,historical,Edirne,1970,10,21.355,8.656
ACCESS-CM2,historical,Edirne,1970,11,73.472,2.039
ACCESS-CM2,historical,Edirne,1970,12,93.031,-2.957
ACCESS-CM2,historical,Edirne,1971,1,36.67,-0.904
ACCESS-CM2,historical,Edirne,1971,2,72.839,3.587
ACCESS-CM2,historical,Edirne,1971,3,115.457,5.221
ACCESS-CM2,historical,Edirne,1971,4,24.412,9.323
ACCESS-CM2,historical,Edirne,1971,5,34.065,18.405
ACCESS-CM2,historical,Edirne,1971,6,62.749,22.665
ACCESS-CM2,historical,Edirne,1971,7,27.005,26.182
ACCESS-CM2,historical,Edirne,1971,8,52.034,20.505
ACCESS-CM2,historical,Edirne,1971,9,33.135,19.612
ACCESS-CM2,historical,Edirne,1971,10,4.969,14.672
ACCESS-CM2,historical,Edirne,1971,11,22.792,8.032
ACCESS-CM2,historical,Edirne,1971,12,62.182,1.612
ACCESS-CM2,historical,Edirne,1972,1,28.485,0.459
ACCESS-CM2,historical,Edirne,1972,2,48.209,0.388
ACCESS-CM2,historical,Edirne,1972,3,43.626,4.1
ACCESS-CM2,historical,Edirne,1972,4,31.023,9.905
ACCESS-CM2,historical,Edirne,1972,5,27.423,18.427
ACCESS-CM2,historical,Edirne,1972,6,101.897,21.396
ACCESS-CM2,historical,Edirne,1972,7,143.845,22.902
ACCESS-CM2,historical,Edirne,1972,8,56.699,21.244
ACCESS-CM2,historical,Edirne,1972,9,11.56,16.097
ACCESS-CM2,historical,Edirne,1972,10,72.589,8.615
ACCESS-CM2,historical,Edirne,1972,11,72.524,5.702
ACCESS-CM2,historical,Edirne,1972,12,28.494,2.589
ACCESS-CM2,historical,Edirne,1973,1,21.364,2.735
ACCESS-CM2,historical,Edirne,1973,2,44.899,4.194
ACCESS-CM2,historical,Edirne,1973,3,87.024,5.356
ACCESS-CM2,historical,Edirne,1973,4,154.856,8.88
ACCESS-CM2,historical,Edirne,1973,5,110.134,14.139
ACCESS-CM2,historical,Edirne,1973,6,18.836,21.005
ACCESS-CM2,historical,Edirne,1973,7,38.387,24.934
ACCESS-CM2,historical,Edirne,1973,8,5.794,21.493
ACCESS-CM2,historical,Edirne,1973,9,2.334,23.379
ACCESS-CM2,historical,Edirne,1973,10,93.891,11.352
ACCESS-CM2,historical,Edirne,1973,11,79.541,3.588
ACCESS-CM2,historical,Edirne,1973,12,56.622,-4.552
ACCESS-CM2,historical,Edirne,1974,1,82.302,0.936
ACCESS-CM2,historical,Edirne,1974,2,28.986,-0.265
ACCESS-CM2,historical,Edirne,1974,3,33.249,0.866
ACCESS-CM2,historical,Edirne,1974,4,19.043,9.007
ACCESS-CM2,historical,Edirne,1974,5,86.169,17.709
ACCESS-CM2,historical,Edirne,1974,6,23.923,20.993
ACCESS-CM2,historical,Edirne,1974,7,30.005,25.667
ACCESS-CM2,historical,Edirne,1974,8,19.626,21.288
ACCESS-CM2,historical,Edirne,1974,9,3.586,17.609
ACCESS-CM2,historical,Edirne,1974,10,3.25,12.727
ACCESS-CM2,historical,Edirne,1974,11,102.776,1.131
ACCESS-CM2,historical,Edirne,1974,12,79.828,-5.65
ACCESS-CM2,historical,Edirne,1975,1,20.593,-3.911
ACCESS-CM2,historical,Edirne,1975,2,23.78,-4.127
ACCESS-CM2,historical,Edirne,1975,3,42.434,0.324
ACCESS-CM2,historical,Edirne,1975,4,79.652,9.129
ACCESS-CM2,historical,Edirne,1975,5,91.076,17.276
ACCESS-CM2,historical,Edirne,1975,6,57.67,22.446
ACCESS-CM2,historical,Edirne,1975,7,29.721,23.319
ACCESS-CM2,historical,Edirne,1975,8,3.04,21.94
ACCESS-CM2,historical,Edirne,1975,9,0.75,20.667
ACCESS-CM2,historical,Edirne,1975,10,34.019,12.101
ACCESS-CM2,historical,Edirne,1975,11,19.117,3.539
ACCESS-CM2,historical,Edirne,1975,12,108.238,-0.126
ACCESS-CM2,historical,Edirne,1976,1,19.994,-0.406
ACCESS-CM2,historical,Edirne,1976,2,86.901,-4.139
ACCESS-CM2,historical,Edirne,1976,3,21.475,3.397
ACCESS-CM2,historical,Edirne,1976,4,29.104,9.574
ACCESS-CM2,historical,Edirne,1976,5,51.4,15.049
ACCESS-CM2,historical,Edirne,1976,6,124.999,22.245
ACCESS-CM2,historical,Edirne,1976,7,68.864,22.995
ACCESS-CM2,historical,Edirne,1976,8,11.013,21.95
ACCESS-CM2,historical,Edirne,1976,9,41.421,15.028
ACCESS-CM2,historical,Edirne,1976,10,10.265,12.081
ACCESS-CM2,historical,Edirne,1976,11,99.882,4.529
ACCESS-CM2,historical,Edirne,1976,12,76.035,3.801
ACCESS-CM2,historical,Edirne,1977,1,84.179,0.442
ACCESS-CM2,historical,Edirne,1977,2,43.198,1.826
ACCESS-CM2,historical,Edirne,1977,3,224.098,2.959
ACCESS-CM2,historical,Edirne,1977,4,27.005,10.969
ACCESS-CM2,historical,Edirne,1977,5,28.409,16.108
ACCESS-CM2,historical,Edirne,1977,6,115.328,20.006
ACCESS-CM2,historical,Edirne,1977,7,38.279,24.335
ACCESS-CM2,historical,Edirne,1977,8,11.274,23.23
ACCESS-CM2,historical,Edirne,1977,9,7.793,18.05
ACCESS-CM2,historical,Edirne,1977,10,142.323,7.132
ACCESS-CM2,historical,Edirne,1977,11,45.384,6.99
ACCESS-CM2,historical,Edirne,1977,12,109.216,0.775
ACCESS-CM2,historical,Edirne,1978,1,41.159,-0.973
ACCESS-CM2,historical,Edirne,1978,2,48.548,3.263
ACCESS-CM2,historical,Edirne,1978,3,62.483,3.881
ACCESS-CM2,historical,Edirne,1978,4,72.32,8.839
ACCESS-CM2,historical,Edirne,1978,5,42.578,16.58
ACCESS-CM2,historical,Edirne,1978,6,6.525,25.559
ACCESS-CM2,historical,Edirne,1978,7,23.459,25.803
ACCESS-CM2,historical,Edirne,1978,8,46.625,22.019
ACCESS-CM2,historical,Edirne,1978,9,18.598,14.424
ACCESS-CM2,historical,Edirne,1978,10,11.038,11.308
ACCESS-CM2,historical,Edirne,1978,11,130.959,4.548
ACCESS-CM2,historical,Edirne,1978,12,55.09,2.467
ACCESS-CM2,historical,Edirne,1979,1,25.917,-1.995
ACCESS-CM2,historical,Edirne,1979,2,63.029,1.493
ACCESS-CM2,historical,Edirne,1979,3,68.323,4.737
ACCESS-CM2,historical,Edirne,1979,4,62.806,10.778
ACCESS-CM2,historical,Edirne,1979,5,126.39,16.413
ACCESS-CM2,historical,Edirne,1979,6,35.847,22.691
ACCESS-CM2,historical,Edirne,1979,7,17.694,24.444
ACCESS-CM2,historical,Edirne,1979,8,20.76,19.3
ACCESS-CM2,historical,Edirne,1979,9,16.533,17.093
ACCESS-CM2,historical,Edirne,1979,10,10.034,9.957
ACCESS-CM2,historical,Edirne,1979,11,128.83,4.39
ACCESS-CM2,historical,Edirne,1979,12,192.903,-0.696
ACCESS-CM2,historical,Edirne,1980,1,56.099,-5.137
ACCESS-CM2,historical,Edirne,1980,2,58.865,1.08
ACCESS-CM2,historical,Edirne,1980,3,66.203,5.705
ACCESS-CM2,historical,Edirne,1980,4,38.12,12.184
ACCESS-CM2,historical,Edirne,1980,5,185.736,16.386
ACCESS-CM2,historical,Edirne,1980,6,107.286,17.642
ACCESS-CM2,historical,Edirne,1980,7,128.014,22.127
ACCESS-CM2,historical,Edirne,1980,8,2.002,22.396
ACCESS-CM2,historical,Edirne,1980,9,5.843,17.572
ACCESS-CM2,historical,Edirne,1980,10,44.33,13.842
ACCESS-CM2,historical,Edirne,1980,11,39.393,3.581
ACCESS-CM2,historical,Edirne,1980,12,77.679,-4.206
ACCESS-CM2,historical,Edirne,1981,1,88.222,-5.239
