model,ssp,name,year,month,SPI12,SPEI12
ACCESS-CM2,ssp245,Edirne,2015,1,,
ACCESS-CM2,ssp245,Edirne,2015,2,,
ACCESS-CM2,ssp245,Edirne,2015,3,,
ACCESS-CM2,ssp245,Edirne,2015,4,,
ACCESS-CM2,ssp245,Edirne,2015,5,,
ACCESS-CM2,ssp245,Edirne,2015,6,,
ACCESS-CM2,ssp245,Edirne,2015,7,,
ACCESS-CM2,ssp245,Edirne,2015,8,,
ACCESS-CM2,ssp245,Edirne,2015,9,,
ACCESS-CM2,ssp245,Edirne,2015,10,,
ACCESS-CM2,ssp245,Edirne,2015,11,,
ACCESS-CM2,ssp245,Edirne,2015,12,1.692,1.302
ACCESS-CM2,ssp245,Edirne,2016,1,1.884,1.484
ACCESS-CM2,ssp245,Edirne,2016,2,1.125,0.837
ACCESS-CM2,ssp245,Edirne,2016,3,0.859,0.523
ACCESS-CM2,ssp245,Edirne,2016,4,1.311,1.077
ACCESS-CM2,ssp245,Edirne,2016,5,1.252,1.126
ACCESS-CM2,ssp245,Edirne,2016,6,0.891,0.914
ACCESS-CM2,ssp245,Edirne,2016,7,0.724,0.598
ACCESS-CM2,ssp245,Edirne,2016,8,0.645,0.455
ACCESS-CM2,ssp245,Edirne,2016,9,0.509,0.152
ACCESS-CM2,ssp245,Edirne,2016,10,0.953,0.54
ACCESS-CM2,ssp245,Edirne,2016,11,-0.173,-0.717
ACCESS-CM2,ssp245,Edirne,2016,12,-0.368,-0.896
ACCESS-CM2,ssp245,Edirne,2017,1,-0.554,-1.245
ACCESS-CM2,ssp245,Edirne,2017,2,-0.645,-1.258
ACCESS-CM2,ssp245,Edirne,2017,3,-0.655,-1.22
ACCESS-CM2,ssp245,Edirne,2017,4,-0.935,-1.533
ACCESS-CM2,ssp245,Edirne,2017,5,-0.764,-1.364
ACCESS-CM2,ssp245,Edirne,2017,6,-0.42,-1.166
ACCESS-CM2,ssp245,Edirne,2017,7,-1.022,-1.517
ACCESS-CM2,ssp245,Edirne,2017,8,-0.858,-1.352
ACCESS-CM2,ssp245,Edirne,2017,9,-0.931,-1.467
ACCESS-CM2,ssp245,Edirne,2017,10,-1.382,-1.826
ACCESS-CM2,ssp245,Edirne,2017,11,-1.121,-1.557
ACCESS-CM2,ssp245,Edirne,2017,12,-0.849,-1.451
ACCESS-CM2,ssp245,Edirne,2018,1,-1.032,-1.867
ACCESS-CM2,ssp245,Edirne,2018,2,-0.682,-1.541
ACCESS-CM2,ssp245,Edirne,2018,3,-0.54,-1.446
ACCESS-CM2,ssp245,Edirne,2018,4,-0.214,-1.108
ACCESS-CM2,ssp245,Edirne,2018,5,-0.268,-1.135
ACCESS-CM2,ssp245,Edirne,2018,6,-0.397,-1.225
ACCESS-CM2,ssp245,Edirne,2018,7,-0.034,-0.698
ACCESS-CM2,ssp245,Edirne,2018,8,0.284,-0.272
ACCESS-CM2,ssp245,Edirne,2018,9,0.184,-0.335
ACCESS-CM2,ssp245,Edirne,2018,10,0.237,-0.236
ACCESS-CM2,ssp245,Edirne,2018,11,0.419,-0.104
ACCESS-CM2,ssp245,Edirne,2018,12,-0.051,-0.602
ACCESS-CM2,ssp245,Edirne,2019,1,0.428,0.029
ACCESS-CM2,ssp245,Edirne,2019,2,0.273,-0.036
ACCESS-CM2,ssp245,Edirne,2019,3,0.562,0.3
ACCESS-CM2,ssp245,Edirne,2019,4,0.403,0.052
ACCESS-CM2,ssp245,Edirne,2019,5,0.34,0.037
ACCESS-CM2,ssp245,Edirne,2019,6,0.555,0.292
ACCESS-CM2,ssp245,Edirne,2019,7,0.326,-0.129
ACCESS-CM2,ssp245,Edirne,2019,8,0.071,-0.413
ACCESS-CM2,ssp245,Edirne,2019,9,0.525,0.1
ACCESS-CM2,ssp245,Edirne,2019,10,0.463,-0.032
ACCESS-CM2,ssp245,Edirne,2019,11,0.286,-0.179
ACCESS-CM2,ssp245,Edirne,2019,12,0.779,0.392
ACCESS-CM2,ssp245,Edirne,2020,1,0.985,0.589
ACCESS-CM2,ssp245,Edirne,2020,2,1.112,0.705
ACCESS-CM2,ssp245,Edirne,2020,3,0.916,0.661
ACCESS-CM2,ssp245,Edirne,2020,4,0.663,0.426
ACCESS-CM2,ssp245,Edirne,2020,5,0.744,0.394
ACCESS-CM2,ssp245,Edirne,2020,6,0.895,0.568
ACCESS-CM2,ssp245,Edirne,2020,7,1.098,0.863
ACCESS-CM2,ssp245,Edirne,2020,8,0.928,0.552
ACCESS-CM2,ssp245,Edirne,2020,9,0.634,0.221
ACCESS-CM2,ssp245,Edirne,2020,10,0.596,0.143
ACCESS-CM2,ssp245,Edirne,2020,11,0.918,0.499
ACCESS-CM2,ssp245,Edirne,2020,12,0.431,-0.068
ACCESS-CM2,ssp245,Edirne,2021,1,-0.257,-0.911
ACCESS-CM2,ssp245,Edirne,2021,2,0.304,-0.175
ACCESS-CM2,ssp245,Edirne,2021,3,0.476,-0.063
