name,index,D1,D3,D6,D9,D12
Edirne,SPI12,0.169,0.271,0.373,0.475,0.576
Edirne,SPEI12,0.186,0.305,0.475,0.576,0.644
Kırklareli,SPI12,0.169,0.339,0.458,0.593,0.661
Kırklareli,SPEI12,0.153,0.373,0.424,0.559,0.661
Lüleburgaz,SPI12,0.169,0.356,0.424,0.559,0.593
Lüleburgaz,SPEI12,0.22,0.373,0.508,0.695,0.763
Sarıyer,SPI12,0.169,0.288,0.475,0.559,0.627
Sarıyer,SPEI12,0.153,0.271,0.492,0.559,0.644
Tekirdağ,SPI12,0.186,0.339,0.475,0.542,0.61
Tekirdağ,SPEI12,0.186,0.322,0.508,0.508,0.593
Uzunköprü,SPI12,0.237,0.441,0.492,0.576,0.61
Uzunköprü,SPEI12,0.22,0.458,0.525,0.61,0.644
Çorlu,SPI12,0.237,0.356,0.424,0.508,0.559
Çorlu,SPEI12,0.186,0.39,0.407,0.542,0.61
İpsala,SPI12,0.254,0.458,0.475,0.508,0.61
İpsala,SPEI12,0.305,0.407,0.441,0.559,0.61
