name,indeks,k,P0_D1,P0_D3,P0_D6,P0_D9,P0_D12
Edirne,SPI,1,0.0,0.424,0.932,1.0,1.0
Edirne,SPI,3,0.017,0.136,0.61,0.898,1.0
Edirne,SPI,6,0.068,0.169,0.458,0.678,0.831
Edirne,SPI,9,0.085,0.22,0.508,0.576,0.746
Edirne,SPI,12,0.169,0.271,0.373,0.475,0.576
Edirne,SPEI,1,0.0,0.305,0.881,1.0,1.0
Edirne,SPEI,3,0.017,0.153,0.559,0.814,0.932
Edirne,SPEI,6,0.034,0.186,0.441,0.695,0.831
Edirne,SPEI,9,0.068,0.254,0.475,0.61,0.814
Edirne,SPEI,12,0.186,0.305,0.475,0.576,0.644
Kırklareli,SPI,1,0.0,0.407,0.932,1.0,1.0
Kırklareli,SPI,3,0.017,0.203,0.61,0.881,0.932
Kırklareli,SPI,6,0.068,0.254,0.508,0.78,0.864
Kırklareli,SPI,9,0.119,0.237,0.492,0.593,0.712
Kırklareli,SPI,12,0.169,0.339,0.458,0.593,0.661
Kırklareli,SPEI,1,0.0,0.339,0.949,0.983,0.983
Kırklareli,SPEI,3,0.017,0.186,0.627,0.847,0.932
Kırklareli,SPEI,6,0.068,0.203,0.492,0.763,0.881
Kırklareli,SPEI,9,0.068,0.254,0.525,0.627,0.712
Kırklareli,SPEI,12,0.153,0.373,0.424,0.559,0.661
Lüleburgaz,SPI,1,0.0,0.373,0.932,0.983,1.0
Lüleburgaz,SPI,3,0.017,0.153,0.678,0.847,0.932
Lüleburgaz,SPI,6,0.051,0.254,0.508,0.678,0.763
Lüleburgaz,SPI,9,0.119,0.237,0.525,0.593,0.678
Lüleburgaz,SPI,12,0.169,0.356,0.424,0.559,0.593
Lüleburgaz,SPEI,1,0.0,0.305,0.847,0.983,1.0
Lüleburgaz,SPEI,3,0.017,0.136,0.729,0.797,0.898
Lüleburgaz,SPEI,6,0.119,0.271,0.475,0.729,0.78
Lüleburgaz,SPEI,9,0.119,0.305,0.559,0.695,0.78
Lüleburgaz,SPEI,12,0.22,0.373,0.508,0.695,0.763
Sarıyer,SPI,1,0.0,0.322,0.898,1.0,1.0
Sarıyer,SPI,3,0.0,0.119,0.627,0.814,0.949
Sarıyer,SPI,6,0.034,0.186,0.39,0.627,0.831
Sarıyer,SPI,9,0.085,0.237,0.441,0.593,0.729
Sarıyer,SPI,12,0.169,0.288,0.475,0.559,0.627
Sarıyer,SPEI,1,0.0,0.237,0.898,1.0,1.0
Sarıyer,SPEI,3,0.0,0.119,0.627,0.831,0.949
Sarıyer,SPEI,6,0.068,0.186,0.458,0.695,0.847
Sarıyer,SPEI,9,0.102,0.237,0.508,0.661,0.746
Sarıyer,SPEI,12,0.153,0.271,0.492,0.559,0.644
Tekirdağ,SPI,1,0.0,0.339,0.915,0.966,0.983
Tekirdağ,SPI,3,0.017,0.169,0.644,0.915,0.983
Tekirdağ,SPI,6,0.068,0.254,0.475,0.712,0.814
Tekirdağ,SPI,9,0.119,0.271,0.508,0.61,0.729
Tekirdağ,SPI,12,0.186,0.339,0.475,0.542,0.61
Tekirdağ,SPEI,1,0.0,0.305,0.814,0.966,1.0
Tekirdağ,SPEI,3,0.0,0.153,0.627,0.831,0.932
Tekirdağ,SPEI,6,0.051,0.237,0.475,0.695,0.78
Tekirdağ,SPEI,9,0.102,0.305,0.458,0.593,0.712
Tekirdağ,SPEI,12,0.186,0.322,0.508,0.508,0.593
Uzunköprü,SPI,1,0.0,0.424,0.847,0.983,1.0
Uzunköprü,SPI,3,0.017,0.254,0.576,0.797,0.915
Uzunköprü,SPI,6,0.102,0.271,0.424,0.661,0.797
Uzunköprü,SPI,9,0.153,0.322,0.508,0.593,0.712
Uzunköprü,SPI,12,0.237,0.441,0.492,0.576,0.61
Uzunköprü,SPEI,1,0.0,0.356,0.831,0.966,1.0
Uzunköprü,SPEI,3,0.0,0.186,0.61,0.797,0.932
Uzunköprü,SPEI,6,0.085,0.237,0.441,0.712,0.78
Uzunköprü,SPEI,9,0.169,0.271,0.525,0.576,0.678
Uzunköprü,SPEI,12,0.22,0.458,0.525,0.61,0.644
Çorlu,SPI,1,0.0,0.356,0.932,1.0,1.0
Çorlu,SPI,3,0.051,0.237,0.593,0.847,0.915
Çorlu,SPI,6,0.102,0.237,0.525,0.695,0.797
Çorlu,SPI,9,0.153,0.271,0.475,0.593,0.712
Çorlu,SPI,12,0.237,0.356,0.424,0.508,0.559
Çorlu,SPEI,1,0.0,0.339,0.898,1.0,1.0
Çorlu,SPEI,3,0.017,0.169,0.644,0.814,0.915
Çorlu,SPEI,6,0.085,0.288,0.492,0.746,0.814
Çorlu,SPEI,9,0.153,0.271,0.576,0.627,0.729
Çorlu,SPEI,12,0.186,0.39,0.407,0.542,0.61
İpsala,SPI,1,0.0,0.458,0.932,0.983,1.0
İpsala,SPI,3,0.017,0.22,0.695,0.847,0.949
İpsala,SPI,6,0.085,0.271,0.559,0.712,0.831
İpsala,SPI,9,0.136,0.39,0.492,0.525,0.695
İpsala,SPI,12,0.254,0.458,0.475,0.508,0.61
İpsala,SPEI,1,0.0,0.288,0.797,0.966,1.0
İpsala,SPEI,3,0.0,0.169,0.627,0.746,0.898
İpsala,SPEI,6,0.068,0.254,0.508,0.695,0.814
İpsala,SPEI,9,0.136,0.339,0.492,0.559,0.695
İpsala,SPEI,12,0.305,0.407,0.441,0.559,0.61
