name,year,month,yeni,clim,komsu_ort,eski,fark,tur
Çorlu,2021,3,5.78,6.8,6.54,10.119627133729615,4.34,dolgu (eksik ay)
İpsala,1976,4,12.59,12.8,11.84,3.727014571629213,-8.86,dolgu (eksik ay)
İpsala,1976,5,16.43,17.84,15.54,4.879108146067416,-11.55,dolgu (eksik ay)
İpsala,1976,6,20.38,22.33,19.5,6.148810568820225,-14.23,dolgu (eksik ay)
İpsala,1976,7,23.12,24.64,22.33,7.428651685393257,-15.69,dolgu (eksik ay)
İpsala,1976,8,20.41,24.33,19.86,8.611161341292133,-11.8,dolgu (eksik ay)
İpsala,1976,9,18.54,20.28,18.17,9.588869382022471,-8.95,dolgu (eksik ay)
İpsala,1978,9,18.07,20.28,17.71,14.512679963403476,-3.56,dolgu (eksik ay)
İpsala,1976,10,14.26,14.83,14.19,10.25430565308989,-4.01,dolgu (eksik ay)
İpsala,1978,10,14.29,14.83,14.2,10.76026495882891,-3.53,dolgu (eksik ay)
İpsala,1978,11,8.14,10.13,8.0,7.561509972552607,-0.58,dolgu (eksik ay)
İpsala,1978,12,6.15,5.93,6.13,5.3351699908508685,-0.81,dolgu (eksik ay)
Lüleburgaz,2009,3,7.42,7.25,7.7,11.372709023935474,3.95,dolgu (eksik ay)
Lüleburgaz,2009,4,11.3,11.9,11.6,14.000339186297238,2.7,dolgu (eksik ay)
Uzunköprü,1965,1,3.98,3.16,4.81,-4.6,-8.58,düzeltme (hatalı kaynak)
Uzunköprü,1965,2,1.48,4.92,1.67,-7.1,-8.58,düzeltme (hatalı kaynak)
