name,index,year,D,S
Edirne,SPI12,1966,1,0.026
Edirne,SPI12,1966,2,0.0
Edirne,SPI12,1966,3,0.0
Edirne,SPI12,1966,4,0.0
Edirne,SPI12,1966,5,0.0
Edirne,SPI12,1966,6,0.0
Edirne,SPI12,1966,7,0.0
Edirne,SPI12,1966,8,0.0
Edirne,SPI12,1966,9,0.0
Edirne,SPI12,1966,10,0.0
Edirne,SPI12,1966,11,0.0
Edirne,SPI12,1966,12,0.0
Edirne,SPI12,1967,1,0.385
Edirne,SPI12,1967,2,0.0
Edirne,SPI12,1967,3,0.0
Edirne,SPI12,1967,4,0.0
Edirne,SPI12,1967,5,0.0
Edirne,SPI12,1967,6,0.0
Edirne,SPI12,1967,7,0.0
Edirne,SPI12,1967,8,0.0
Edirne,SPI12,1967,9,0.0
Edirne,SPI12,1967,10,0.0
Edirne,SPI12,1967,11,0.0
Edirne,SPI12,1967,12,0.0
Edirne,SPI12,1968,1,1.382
Edirne,SPI12,1968,2,2.418
Edirne,SPI12,1968,3,3.251
Edirne,SPI12,1968,4,4.007
Edirne,SPI12,1968,5,5.02
Edirne,SPI12,1968,6,5.798
Edirne,SPI12,1968,7,6.52
Edirne,SPI12,1968,8,7.011
Edirne,SPI12,1968,9,7.345
Edirne,SPI12,1968,10,7.374
Edirne,SPI12,1968,11,0.0
Edirne,SPI12,1968,12,0.0
Edirne,SPI12,1969,1,0.997
Edirne,SPI12,1969,2,1.488
Edirne,SPI12,1969,3,2.266
Edirne,SPI12,1969,4,3.279
Edirne,SPI12,1969,5,4.035
Edirne,SPI12,1969,6,4.868
Edirne,SPI12,1969,7,6.25
Edirne,SPI12,1969,8,7.286
Edirne,SPI12,1969,9,8.008
Edirne,SPI12,1969,10,8.412
Edirne,SPI12,1969,11,8.746
Edirne,SPI12,1969,12,8.898
Edirne,SPI12,1970,1,0.398
Edirne,SPI12,1970,2,0.603
Edirne,SPI12,1970,3,0.758
Edirne,SPI12,1970,4,0.0
Edirne,SPI12,1970,5,0.0
Edirne,SPI12,1970,6,0.0
Edirne,SPI12,1970,7,0.0
Edirne,SPI12,1970,8,0.0
Edirne,SPI12,1970,9,0.0
Edirne,SPI12,1970,10,0.0
Edirne,SPI12,1970,11,0.0
Edirne,SPI12,1970,12,0.0
Edirne,SPI12,1971,1,0.123
Edirne,SPI12,1971,2,0.0
Edirne,SPI12,1971,3,0.0
Edirne,SPI12,1971,4,0.0
Edirne,SPI12,1971,5,0.0
Edirne,SPI12,1971,6,0.0
Edirne,SPI12,1971,7,0.0
Edirne,SPI12,1971,8,0.0
Edirne,SPI12,1971,9,0.0
Edirne,SPI12,1971,10,0.0
Edirne,SPI12,1971,11,0.0
Edirne,SPI12,1971,12,0.0
Edirne,SPI12,1972,1,1.181
Edirne,SPI12,1972,2,2.027
Edirne,SPI12,1972,3,2.614
Edirne,SPI12,1972,4,3.333
Edirne,SPI12,1972,5,3.38
Edirne,SPI12,1972,6,3.63
Edirne,SPI12,1972,7,3.677
Edirne,SPI12,1972,8,0.0
Edirne,SPI12,1972,9,0.0
Edirne,SPI12,1972,10,0.0
Edirne,SPI12,1972,11,0.0
Edirne,SPI12,1972,12,0.0
Edirne,SPI12,1973,1,0.71
Edirne,SPI12,1973,2,1.409
Edirne,SPI12,1973,3,1.699
Edirne,SPI12,1973,4,0.0
Edirne,SPI12,1973,5,0.0
Edirne,SPI12,1973,6,0.0
Edirne,SPI12,1973,7,0.0
Edirne,SPI12,1973,8,0.0
Edirne,SPI12,1973,9,0.0
Edirne,SPI12,1973,10,0.0
Edirne,SPI12,1973,11,0.0
Edirne,SPI12,1973,12,0.0
Edirne,SPI12,1974,1,1.762
Edirne,SPI12,1974,2,3.227
Edirne,SPI12,1974,3,4.472
Edirne,SPI12,1974,4,5.623
Edirne,SPI12,1974,5,6.783
Edirne,SPI12,1974,6,7.967
Edirne,SPI12,1974,7,9.082
Edirne,SPI12,1974,8,10.12
Edirne,SPI12,1974,9,11.195
Edirne,SPI12,1974,10,12.136
Edirne,SPI12,1974,11,12.526
Edirne,SPI12,1974,12,13.152
Edirne,SPI12,1975,1,0.73
Edirne,SPI12,1975,2,1.333
Edirne,SPI12,1975,3,1.674
Edirne,SPI12,1975,4,2.432
Edirne,SPI12,1975,5,3.47
Edirne,SPI12,1975,6,4.585
Edirne,SPI12,1975,7,5.769
Edirne,SPI12,1975,8,6.929
Edirne,SPI12,1975,9,8.08
Edirne,SPI12,1975,10,9.842
Edirne,SPI12,1975,11,11.307
Edirne,SPI12,1975,12,12.552
Edirne,SPI12,1976,1,1.521
Edirne,SPI12,1976,2,2.994
Edirne,SPI12,1976,3,4.331
Edirne,SPI12,1976,4,5.281
Edirne,SPI12,1976,5,6.273
Edirne,SPI12,1976,6,6.648
Edirne,SPI12,1976,7,7.139
Edirne,SPI12,1976,8,0.0
Edirne,SPI12,1976,9,0.0
Edirne,SPI12,1976,10,0.0
Edirne,SPI12,1976,11,0.0
Edirne,SPI12,1976,12,0.0
Edirne,SPI12,1977,1,1.136
Edirne,SPI12,1977,2,2.473
Edirne,SPI12,1977,3,3.994
Edirne,SPI12,1977,4,5.467
Edirne,SPI12,1977,5,6.417
Edirne,SPI12,1977,6,7.409
Edirne,SPI12,1977,7,7.937
Edirne,SPI12,1977,8,8.312
Edirne,SPI12,1977,9,8.803
Edirne,SPI12,1977,10,9.151
Edirne,SPI12,1977,11,9.266
Edirne,SPI12,1977,12,9.403
Edirne,SPI12,1978,1,0.48
Edirne,SPI12,1978,2,0.909
Edirne,SPI12,1978,3,1.14
Edirne,SPI12,1978,4,1.279
Edirne,SPI12,1978,5,1.527
Edirne,SPI12,1978,6,1.886
Edirne,SPI12,1978,7,2.025
Edirne,SPI12,1978,8,0.0
Edirne,SPI12,1978,9,0.0
Edirne,SPI12,1978,10,0.0
Edirne,SPI12,1978,11,0.0
Edirne,SPI12,1978,12,0.0
Edirne,SPI12,1979,1,1.059
Edirne,SPI12,1979,2,1.633
Edirne,SPI12,1979,3,1.84
Edirne,SPI12,1979,4,2.121
Edirne,SPI12,1979,5,2.699
Edirne,SPI12,1979,6,3.273
Edirne,SPI12,1979,7,3.703
Edirne,SPI12,1979,8,3.858
Edirne,SPI12,1979,9,0.0
Edirne,SPI12,1979,10,0.0
Edirne,SPI12,1979,11,0.0
Edirne,SPI12,1979,12,0.0
Edirne,SPI12,1980,1,0.082
Edirne,SPI12,1980,2,0.0
Edirne,SPI12,1980,3,0.0
Edirne,SPI12,1980,4,0.0
Edirne,SPI12,1980,5,0.0
Edirne,SPI12,1980,6,0.0
Edirne,SPI12,1980,7,0.0
Edirne,SPI12,1980,8,0.0
Edirne,SPI12,1980,9,0.0
Edirne,SPI12,1980,10,0.0
Edirne,SPI12,1980,11,0.0
