name,indeks,k,year,D,S
Edirne,SPI,1,1966,1,0.723
Edirne,SPI,1,1966,2,0.0
Edirne,SPI,1,1966,3,0.0
Edirne,SPI,1,1966,4,0.0
Edirne,SPI,1,1966,5,0.0
Edirne,SPI,1,1966,6,0.0
Edirne,SPI,1,1966,7,0.0
Edirne,SPI,1,1966,8,0.0
Edirne,SPI,1,1966,9,0.0
Edirne,SPI,1,1966,10,0.0
Edirne,SPI,1,1966,11,0.0
Edirne,SPI,1,1966,12,0.0
Edirne,SPI,1,1967,1,0.807
Edirne,SPI,1,1967,2,1.019
Edirne,SPI,1,1967,3,1.032
Edirne,SPI,1,1967,4,0.0
Edirne,SPI,1,1967,5,0.0
Edirne,SPI,1,1967,6,0.0
Edirne,SPI,1,1967,7,0.0
Edirne,SPI,1,1967,8,0.0
Edirne,SPI,1,1967,9,0.0
Edirne,SPI,1,1967,10,0.0
Edirne,SPI,1,1967,11,0.0
Edirne,SPI,1,1967,12,0.0
Edirne,SPI,1,1968,1,2.918
Edirne,SPI,1,1968,2,5.584
Edirne,SPI,1,1968,3,6.505
Edirne,SPI,1,1968,4,0.0
Edirne,SPI,1,1968,5,0.0
Edirne,SPI,1,1968,6,0.0
Edirne,SPI,1,1968,7,0.0
Edirne,SPI,1,1968,8,0.0
Edirne,SPI,1,1968,9,0.0
Edirne,SPI,1,1968,10,0.0
Edirne,SPI,1,1968,11,0.0
Edirne,SPI,1,1968,12,0.0
Edirne,SPI,1,1969,1,2.042
Edirne,SPI,1,1969,2,3.329
Edirne,SPI,1,1969,3,3.363
Edirne,SPI,1,1969,4,0.0
Edirne,SPI,1,1969,5,0.0
Edirne,SPI,1,1969,6,0.0
Edirne,SPI,1,1969,7,0.0
Edirne,SPI,1,1969,8,0.0
Edirne,SPI,1,1969,9,0.0
Edirne,SPI,1,1969,10,0.0
Edirne,SPI,1,1969,11,0.0
Edirne,SPI,1,1969,12,0.0
Edirne,SPI,1,1970,1,1.288
Edirne,SPI,1,1970,2,1.606
Edirne,SPI,1,1970,3,0.0
Edirne,SPI,1,1970,4,0.0
Edirne,SPI,1,1970,5,0.0
Edirne,SPI,1,1970,6,0.0
Edirne,SPI,1,1970,7,0.0
Edirne,SPI,1,1970,8,0.0
Edirne,SPI,1,1970,9,0.0
Edirne,SPI,1,1970,10,0.0
Edirne,SPI,1,1970,11,0.0
Edirne,SPI,1,1970,12,0.0
Edirne,SPI,1,1971,1,1.342
Edirne,SPI,1,1971,2,0.403
Edirne,SPI,1,1971,3,0.531
Edirne,SPI,1,1971,4,0.0
Edirne,SPI,1,1971,5,0.0
Edirne,SPI,1,1971,6,0.0
Edirne,SPI,1,1971,7,0.0
Edirne,SPI,1,1971,8,0.0
Edirne,SPI,1,1971,9,0.0
Edirne,SPI,1,1971,10,0.0
Edirne,SPI,1,1971,11,0.0
Edirne,SPI,1,1971,12,0.0
Edirne,SPI,1,1972,1,1.978
Edirne,SPI,1,1972,2,2.88
Edirne,SPI,1,1972,3,2.455
Edirne,SPI,1,1972,4,2.708
Edirne,SPI,1,1972,5,2.858
Edirne,SPI,1,1972,6,2.986
Edirne,SPI,1,1972,7,0.0
Edirne,SPI,1,1972,8,0.0
Edirne,SPI,1,1972,9,0.0
Edirne,SPI,1,1972,10,0.0
Edirne,SPI,1,1972,11,0.0
Edirne,SPI,1,1972,12,0.0
Edirne,SPI,1,1973,1,1.282
Edirne,SPI,1,1973,2,1.358
Edirne,SPI,1,1973,3,1.581
Edirne,SPI,1,1973,4,0.0
Edirne,SPI,1,1973,5,0.0
Edirne,SPI,1,1973,6,0.0
Edirne,SPI,1,1973,7,0.0
Edirne,SPI,1,1973,8,0.0
Edirne,SPI,1,1973,9,0.0
Edirne,SPI,1,1973,10,0.0
