name,index,bas_yil,bas_ay,son_yil,son_ay,L_ay,S,I,tepe
Edirne,SPI12,1966,5,1966,5,1,0.026,0.026,0.026
Edirne,SPI12,1967,12,1968,1,2,0.558,0.279,0.385
Edirne,SPI12,1968,3,1969,3,13,8.927,0.687,1.382
Edirne,SPI12,1969,9,1969,11,3,0.487,0.162,0.331
Edirne,SPI12,1970,1,1970,3,3,0.758,0.253,0.398
Edirne,SPI12,1970,12,1970,12,1,0.126,0.126,0.126
Edirne,SPI12,1971,2,1971,2,1,0.123,0.123,0.123
Edirne,SPI12,1971,5,1971,5,1,0.088,0.088,0.088
Edirne,SPI12,1972,3,1972,9,7,3.677,0.525,1.181
Edirne,SPI12,1972,12,1972,12,1,0.273,0.273,0.273
Edirne,SPI12,1973,10,1975,5,20,16.743,0.837,1.762
Edirne,SPI12,1976,6,1977,5,12,9.403,0.784,1.521
Edirne,SPI12,1977,8,1977,8,1,0.016,0.016,0.016
Edirne,SPI12,1977,12,1978,4,5,0.999,0.2,0.346
Edirne,SPI12,1978,6,1978,12,7,2.025,0.289,0.48
Edirne,SPI12,1979,3,1979,10,8,3.858,0.482,1.059
Edirne,SPI12,1980,11,1980,11,1,0.082,0.082,0.082
Edirne,SPI12,1982,1,1984,2,26,15.427,0.593,2.091
Edirne,SPI12,1984,10,1984,10,1,0.023,0.023,0.023
Edirne,SPI12,1985,3,1987,11,33,33.534,1.016,2.13
Edirne,SPI12,1988,1,1988,2,2,0.422,0.211,0.294
Edirne,SPI12,1988,4,1991,10,43,27.068,0.629,1.511
Edirne,SPI12,1991,12,1994,12,37,29.956,0.81,1.605
Edirne,SPI12,1996,1,1996,1,1,0.308,0.308,0.308
Edirne,SPI12,1996,7,1996,8,2,0.385,0.193,0.204
Edirne,SPI12,1996,10,1996,10,1,0.1,0.1,0.1
Edirne,SPI12,1997,2,1997,6,5,1.655,0.331,0.412
Edirne,SPI12,1997,9,1997,9,1,0.116,0.116,0.116
Edirne,SPI12,1997,11,1997,11,1,0.013,0.013,0.013
Edirne,SPI12,2000,2,2002,9,32,35.503,1.109,1.811
Edirne,SPI12,2003,11,2005,1,15,12.031,0.802,1.683
Edirne,SPI12,2005,6,2005,6,1,0.306,0.306,0.306
Edirne,SPI12,2007,7,2007,10,4,2.405,0.601,0.954
Edirne,SPI12,2008,1,2009,9,21,10.888,0.518,1.776
Edirne,SPI12,2011,3,2012,1,11,5.56,0.505,0.881
Edirne,SPI12,2012,3,2012,4,2,0.023,0.011,0.019
Edirne,SPI12,2012,9,2012,12,4,1.991,0.498,0.974
Edirne,SPI12,2014,1,2014,4,4,1.453,0.363,0.827
Edirne,SPI12,2016,10,2017,9,12,10.349,0.862,1.772
Edirne,SPI12,2019,3,2019,3,1,0.395,0.395,0.395
Edirne,SPI12,2019,6,2020,12,19,20.496,1.079,2.178
Edirne,SPI12,2022,1,2022,1,1,0.135,0.135,0.135
Edirne,SPI12,2022,3,2022,8,6,1.634,0.272,0.661
Edirne,SPI12,2022,10,2024,12,27,24.227,0.897,1.757
Edirne,SPEI12,1967,12,1967,12,1,0.075,0.075,0.075
Edirne,SPEI12,1968,4,1969,3,12,9.06,0.755,1.536
Edirne,SPEI12,1969,11,1969,11,1,0.133,0.133,0.133
Edirne,SPEI12,1970,1,1970,4,4,0.492,0.123,0.301
Edirne,SPEI12,1972,6,1972,9,4,2.855,0.714,1.08
Edirne,SPEI12,1972,12,1972,12,1,0.156,0.156,0.156
Edirne,SPEI12,1973,10,1973,11,2,0.842,0.421,0.437
Edirne,SPEI12,1974,1,1974,12,12,7.645,0.637,1.312
Edirne,SPEI12,1975,2,1975,4,3,0.632,0.211,0.406
Edirne,SPEI12,1976,8,1977,2,7,3.518,0.503,0.889
Edirne,SPEI12,1978,1,1978,2,2,0.122,0.061,0.071
Edirne,SPEI12,1978,7,1978,8,2,0.138,0.069,0.124
Edirne,SPEI12,1979,5,1979,6,2,0.81,0.405,0.567
Edirne,SPEI12,1979,9,1979,10,2,1.177,0.589,0.843
Edirne,SPEI12,1982,1,1982,3,3,1.374,0.458,0.621
Edirne,SPEI12,1982,11,1983,8,10,8.828,0.883,1.954
Edirne,SPEI12,1983,11,1983,12,2,0.517,0.259,0.424
Edirne,SPEI12,1985,5,1987,10,30,23.737,0.791,1.841
Edirne,SPEI12,1988,7,1989,7,13,6.827,0.525,1.297
Edirne,SPEI12,1989,11,1991,2,16,9.565,0.598,1.116
Edirne,SPEI12,1991,4,1991,4,1,0.038,0.038,0.038
Edirne,SPEI12,1991,9,1991,10,2,0.357,0.178,0.232
Edirne,SPEI12,1991,12,1992,5,6,2.59,0.432,0.714
Edirne,SPEI12,1992,10,1994,12,27,17.47,0.647,1.753
Edirne,SPEI12,1996,1,1996,1,1,0.065,0.065,0.065
Edirne,SPEI12,1997,2,1997,5,4,0.839,0.21,0.252
Edirne,SPEI12,2000,2,2002,9,32,40.65,1.27,1.993
Edirne,SPEI12,2003,11,2005,1,15,10.573,0.705,1.37
Edirne,SPEI12,2005,6,2005,6,1,0.192,0.192,0.192
Edirne,SPEI12,2007,7,2007,11,5,4.31,0.862,1.28
Edirne,SPEI12,2008,1,2009,9,21,14.894,0.709,1.849
Edirne,SPEI12,2011,2,2012,1,12,7.307,0.609,1.097
Edirne,SPEI12,2012,4,2012,4,1,0.036,0.036,0.036
Edirne,SPEI12,2012,7,2013,2,8,6.537,0.817,1.584
Edirne,SPEI12,2013,4,2013,5,2,1.053,0.526,1.044
Edirne,SPEI12,2013,12,2014,4,5,3.747,0.749,1.41
Edirne,SPEI12,2015,12,2015,12,1,0.352,0.352,0.352
Edirne,SPEI12,2016,9,2017,9,13,15.348,1.181,2.011
Edirne,SPEI12,2019,3,2019,4,2,1.307,0.653,1.031
Edirne,SPEI12,2019,6,2020,12,19,29.156,1.535,2.806
Edirne,SPEI12,2021,5,2021,8,4,0.861,0.215,0.492
Edirne,SPEI12,2022,1,2024,12,36,53.017,1.473,3.447
Kırklareli,SPI12,1965,12,1965,12,1,0.428,0.428,0.428
Kırklareli,SPI12,1966,2,1966,2,1,0.26,0.26,0.26
Kırklareli,SPI12,1967,12,1968,1,2,0.693,0.346,0.482
Kırklareli,SPI12,1968,4,1968,4,1,0.026,0.026,0.026
Kırklareli,SPI12,1968,6,1969,6,13,4.304,0.331,1.078
Kırklareli,SPI12,1969,8,1970,9,14,4.917,0.351,0.597
Kırklareli,SPI12,1970,12,1971,6,7,2.316,0.331,0.52
Kırklareli,SPI12,1972,2,1972,9,8,4.743,0.593,0.924
Kırklareli,SPI12,1972,11,1972,12,2,0.359,0.179,0.273
Kırklareli,SPI12,1973,11,1973,11,1,0.028,0.028,0.028
Kırklareli,SPI12,1974,2,1974,4,3,0.513,0.171,0.265
Kırklareli,SPI12,1974,9,1974,10,2,0.772,0.386,0.653
Kırklareli,SPI12,1974,12,1975,6,7,1.49,0.213,0.377
Kırklareli,SPI12,1976,5,1976,7,3,0.3,0.1,0.152
Kırklareli,SPI12,1976,10,1976,11,2,0.548,0.274,0.29
Kırklareli,SPI12,1978,1,1978,2,2,0.185,0.092,0.136
Kırklareli,SPI12,1978,7,1978,12,6,1.485,0.248,0.51
Kırklareli,SPI12,1979,3,1979,6,4,1.364,0.341,0.4
Kırklareli,SPI12,1980,11,1980,11,1,0.695,0.695,0.695
Kırklareli,SPI12,1982,11,1984,2,16,14.561,0.91,1.699
Kırklareli,SPI12,1984,6,1987,10,41,36.756,0.896,1.818
Kırklareli,SPI12,1988,1,1988,1,1,0.173,0.173,0.173
Kırklareli,SPI12,1988,4,1988,5,2,0.278,0.139,0.19
Kırklareli,SPI12,1989,2,1995,4,75,76.771,1.024,3.025
Kırklareli,SPI12,1996,6,1997,9,16,14.364,0.898,1.66
Kırklareli,SPI12,2000,3,2002,9,31,54.179,1.748,3.13
Kırklareli,SPI12,2003,11,2004,7,9,5.364,0.596,1.252
Kırklareli,SPI12,2004,9,2005,1,5,1.991,0.398,0.747
Kırklareli,SPI12,2005,6,2005,9,4,1.062,0.266,0.433
Kırklareli,SPI12,2007,3,2007,4,2,0.496,0.248,0.291
Kırklareli,SPI12,2007,6,2007,11,6,2.657,0.443,0.842
Kırklareli,SPI12,2008,1,2009,1,13,6.078,0.468,1.11
Kırklareli,SPI12,2011,2,2011,12,11,7.103,0.646,0.927
Kırklareli,SPI12,2012,2,2012,3,2,0.058,0.029,0.053
Kırklareli,SPI12,2014,2,2014,4,3,1.023,0.341,0.546
Kırklareli,SPI12,2015,12,2015,12,1,0.457,0.457,0.457
Kırklareli,SPI12,2016,9,2017,9,13,4.418,0.34,0.737
Kırklareli,SPI12,2020,1,2020,5,5,2.217,0.443,0.664
Kırklareli,SPI12,2020,7,2020,12,6,4.01,0.668,0.965
Kırklareli,SPI12,2022,12,2023,11,12,11.669,0.972,1.715
Kırklareli,SPI12,2024,4,2024,4,1,0.078,0.078,0.078
Kırklareli,SPI12,2024,6,2024,8,3,0.634,0.211,0.267
Kırklareli,SPI12,2024,11,2024,12,2,2.318,1.159,1.297
Kırklareli,SPEI12,1965,12,1965,12,1,0.191,0.191,0.191
Kırklareli,SPEI12,1966,2,1966,2,1,0.201,0.201,0.201
Kırklareli,SPEI12,1967,12,1968,1,2,0.347,0.173,0.317
Kırklareli,SPEI12,1968,5,1969,3,11,5.318,0.483,1.191
Kırklareli,SPEI12,1969,9,1970,5,9,3.647,0.405,0.63
Kırklareli,SPEI12,1970,7,1970,9,3,1.413,0.471,0.578
Kırklareli,SPEI12,1970,12,1971,6,7,1.632,0.233,0.506
Kırklareli,SPEI12,1972,3,1972,9,7,3.816,0.545,0.97
Kırklareli,SPEI12,1972,11,1972,12,2,0.312,0.156,0.202
Kırklareli,SPEI12,1974,3,1974,3,1,0.02,0.02,0.02
Kırklareli,SPEI12,1974,10,1974,10,1,0.271,0.271,0.271
Kırklareli,SPEI12,1974,12,1974,12,1,0.097,0.097,0.097
Kırklareli,SPEI12,1975,2,1975,7,6,0.806,0.134,0.336
Kırklareli,SPEI12,1975,9,1975,9,1,0.025,0.025,0.025
Kırklareli,SPEI12,1978,11,1978,12,2,0.393,0.197,0.24
Kırklareli,SPEI12,1979,4,1979,6,3,0.579,0.193,0.266
Kırklareli,SPEI12,1980,11,1980,11,1,0.449,0.449,0.449
Kırklareli,SPEI12,1982,12,1984,2,15,12.672,0.845,1.643
Kırklareli,SPEI12,1984,6,1984,7,2,0.092,0.046,0.077
Kırklareli,SPEI12,1984,9,1984,10,2,0.55,0.275,0.406
Kırklareli,SPEI12,1984,12,1985,1,2,0.267,0.134,0.228
Kırklareli,SPEI12,1985,3,1987,7,29,27.81,0.959,1.683
Kırklareli,SPEI12,1987,10,1987,10,1,0.001,0.001,0.001
Kırklareli,SPEI12,1988,4,1988,5,2,0.217,0.108,0.131
Kırklareli,SPEI12,1989,3,1993,4,50,33.277,0.666,1.386
Kırklareli,SPEI12,1993,6,1995,6,25,29.841,1.194,3.293
Kırklareli,SPEI12,1996,6,1997,7,14,12.589,0.899,1.648
Kırklareli,SPEI12,1997,9,1997,9,1,0.182,0.182,0.182
Kırklareli,SPEI12,2000,1,2002,9,33,62.084,1.881,4.753
Kırklareli,SPEI12,2003,9,2003,9,1,0.088,0.088,0.088
Kırklareli,SPEI12,2003,11,2004,7,9,6.214,0.69,1.459
Kırklareli,SPEI12,2004,10,2005,1,4,1.295,0.324,0.441
Kırklareli,SPEI12,2005,6,2005,9,4,1.263,0.316,0.433
Kırklareli,SPEI12,2007,3,2007,4,2,0.533,0.267,0.276
