name,indeks,k,bas_yil,bas_ay,son_yil,son_ay,L_ay,S,I,tepe
Edirne,SPI,1,1965,1,1965,1,1,0.401,0.401,0.401
Edirne,SPI,1,1965,4,1965,4,1,0.108,0.108,0.108
Edirne,SPI,1,1965,6,1965,7,2,2.447,1.224,1.427
Edirne,SPI,1,1965,9,1965,10,2,3.904,1.952,2.211
Edirne,SPI,1,1966,2,1966,2,1,0.723,0.723,0.723
Edirne,SPI,1,1967,2,1967,4,3,1.032,0.344,0.807
Edirne,SPI,1,1967,8,1967,8,1,0.495,0.495,0.495
Edirne,SPI,1,1967,11,1967,12,2,0.686,0.343,0.599
Edirne,SPI,1,1968,3,1968,5,3,6.505,2.168,2.918
Edirne,SPI,1,1968,7,1968,7,1,1.077,1.077,1.077
Edirne,SPI,1,1968,10,1968,11,2,1.044,0.522,0.899
Edirne,SPI,1,1969,5,1969,7,3,2.366,0.789,1.637
Edirne,SPI,1,1969,9,1969,11,3,3.363,1.121,2.042
Edirne,SPI,1,1970,1,1970,1,1,0.03,0.03,0.03
Edirne,SPI,1,1970,6,1970,6,1,0.288,0.288,0.288
Edirne,SPI,1,1970,8,1970,9,2,1.606,0.803,1.288
Edirne,SPI,1,1970,12,1970,12,1,0.714,0.714,0.714
Edirne,SPI,1,1971,5,1971,5,1,0.589,0.589,0.589
Edirne,SPI,1,1971,8,1971,8,1,1.342,1.342,1.342
Edirne,SPI,1,1971,10,1972,3,6,2.986,0.498,1.441
Edirne,SPI,1,1972,6,1972,6,1,0.879,0.879,0.879
Edirne,SPI,1,1972,11,1972,12,2,2.88,1.44,1.978
Edirne,SPI,1,1973,5,1973,5,1,1.173,1.173,1.173
Edirne,SPI,1,1973,7,1973,9,3,1.581,0.527,0.872
Edirne,SPI,1,1973,11,1973,11,1,1.282,1.282,1.282
Edirne,SPI,1,1974,1,1974,1,1,0.974,0.974,0.974
Edirne,SPI,1,1974,4,1974,4,1,0.624,0.624,0.624
Edirne,SPI,1,1974,7,1974,8,2,0.972,0.486,0.517
Edirne,SPI,1,1974,12,1974,12,1,0.484,0.484,0.484
Edirne,SPI,1,1975,2,1975,2,1,1.2,1.2,1.2
Edirne,SPI,1,1975,7,1975,7,1,0.874,0.874,0.874
Edirne,SPI,1,1975,9,1975,9,1,0.689,0.689,0.689
Edirne,SPI,1,1975,12,1976,4,5,3.448,0.69,0.984
Edirne,SPI,1,1976,6,1976,7,2,0.309,0.154,0.195
Edirne,SPI,1,1976,9,1976,9,1,0.241,0.241,0.241
Edirne,SPI,1,1976,11,1976,11,1,0.113,0.113,0.113
Edirne,SPI,1,1977,3,1977,3,1,0.01,0.01,0.01
Edirne,SPI,1,1977,5,1977,5,1,0.084,0.084,0.084
Edirne,SPI,1,1977,8,1977,8,1,1.36,1.36,1.36
Edirne,SPI,1,1977,10,1978,1,4,1.661,0.415,0.653
Edirne,SPI,1,1978,6,1978,8,3,2.016,0.672,1.077
Edirne,SPI,1,1978,10,1978,12,3,1.955,0.652,1.057
