name,year,month,SPI1,SPEI1,SPI3,SPEI3,SPI6,SPEI6,SPI9,SPEI9,SPI12,SPEI12
Edirne,1965,1,-0.401,-0.731,,,,,,,,
Edirne,1965,2,1.386,1.576,,,,,,,,
Edirne,1965,3,0.556,0.585,0.636,0.718,,,,,,
Edirne,1965,4,-0.108,0.178,1.103,1.367,,,,,,
Edirne,1965,5,0.750,0.917,0.540,0.886,,,,,,
Edirne,1965,6,-1.427,-1.152,-0.393,-0.057,0.324,0.481,,,,
Edirne,1965,7,-1.020,-0.732,-0.737,-0.517,0.409,0.731,,,,
Edirne,1965,8,0.499,0.965,-1.137,-0.445,-0.372,0.214,,,,
Edirne,1965,9,-2.211,-1.148,-1.000,-0.577,-1.237,-0.499,-0.278,0.124,,
Edirne,1965,10,-1.693,-1.077,-1.605,-0.834,-1.560,-0.923,-0.503,0.057,,
Edirne,1965,11,0.662,0.675,-0.894,-0.896,-1.413,-1.010,-0.864,-0.432,,
Edirne,1965,12,1.299,1.415,0.656,0.647,-0.022,0.142,-0.287,0.086,0.127,0.456
Edirne,1966,1,1.017,1.152,1.785,1.602,0.691,0.859,0.248,0.464,0.715,1.045
Edirne,1966,2,-0.723,-1.326,1.053,0.938,0.338,0.189,-0.162,-0.222,0.027,0.216
Edirne,1966,3,0.588,0.624,0.525,0.343,0.738,0.654,0.244,0.320,0.039,0.273
Edirne,1966,4,0.290,0.012,-0.106,-0.442,1.249,1.055,0.465,0.481,0.122,0.221
Edirne,1966,5,0.236,0.410,0.423,0.493,1.130,1.057,0.444,0.381,-0.026,0.030
Edirne,1966,6,0.003,0.317,0.001,0.394,0.403,0.423,0.664,0.736,0.178,0.447
Edirne,1966,7,0.175,0.135,-0.088,0.419,-0.247,-0.100,1.059,1.080,0.339,0.571
Edirne,1966,8,0.411,0.213,0.001,0.153,0.205,0.517,0.913,0.958,0.321,0.378
Edirne,1966,9,0.315,0.407,0.142,0.167,-0.054,0.426,0.300,0.484,0.549,0.684
Edirne,1966,10,0.874,0.614,0.665,0.527,0.365,0.556,0.170,0.213,1.160,1.091
Edirne,1966,11,2.230,2.165,2.090,1.909,1.646,1.634,1.632,1.573,1.843,1.731
Edirne,1966,12,1.163,1.352,2.510,2.222,2.140,1.861,2.067,1.816,1.928,1.730
Edirne,1967,1,0.903,1.081,2.775,2.267,2.454,2.029,2.074,1.933,1.898,1.731
Edirne,1967,2,-0.807,-0.638,0.860,1.020,1.994,1.826,1.749,1.715,1.764,1.719
Edirne,1967,3,-0.212,-0.362,0.070,0.084,1.886,1.685,1.638,1.513,1.579,1.541
Edirne,1967,4,-0.013,-0.103,-0.924,-0.782,1.772,1.796,1.737,1.565,1.531,1.551
Edirne,1967,5,0.162,-0.024,-0.322,-0.455,0.550,0.652,1.780,1.632,1.542,1.505
Edirne,1967,6,0.865,1.130,0.436,0.687,0.180,0.394,2.023,1.906,1.804,1.678
Edirne,1967,7,0.671,0.847,0.745,1.055,-0.174,0.216,1.899,1.938,1.869,1.751
Edirne,1967,8,-0.495,-0.386,0.544,0.573,0.052,0.417,0.651,0.962,1.729,1.726
Edirne,1967,9,0.514,0.394,0.253,0.289,0.362,0.703,0.179,0.521,1.805,1.739
Edirne,1967,10,0.014,-0.306,-0.255,-0.296,0.212,0.454,-0.404,-0.064,1.513,1.605
Edirne,1967,11,-0.599,-0.843,-0.546,-0.671,-0.133,0.015,-0.371,-0.149,0.217,0.428
Edirne,1967,12,-0.087,-0.288,-0.847,-0.946,-0.609,-0.489,-0.403,-0.092,-0.385,-0.075
Edirne,1968,1,1.260,1.479,0.386,0.511,0.016,0.085,0.306,0.577,-0.173,0.149
Edirne,1968,2,0.232,0.120,0.715,0.793,0.173,0.183,0.310,0.497,0.099,0.333
Edirne,1968,3,-0.921,-0.900,0.544,0.563,-0.187,-0.166,-0.133,0.013,-0.029,0.269
Edirne,1968,4,-2.918,-1.967,-1.568,-1.584,-0.533,-0.671,-0.683,-0.733,-0.334,-0.159
Edirne,1968,5,-2.666,-2.137,-3.599,-2.546,-0.741,-1.147,-1.039,-1.365,-0.722,-0.781
Edirne,1968,6,0.069,0.082,-2.817,-2.481,-0.760,-1.063,-1.218,-1.444,-1.036,-1.217
Edirne,1968,7,-1.077,-0.789,-1.968,-1.801,-2.644,-2.268,-1.351,-1.500,-1.382,-1.536
Edirne,1968,8,1.481,1.674,0.329,0.393,-1.980,-1.680,-0.548,-0.676,-0.833,-0.922
Edirne,1968,9,0.739,0.776,0.690,0.880,-1.029,-1.020,-0.259,-0.363,-0.756,-0.809
Edirne,1968,10,-0.899,-0.820,0.411,0.761,-0.686,-0.545,-1.614,-1.411,-1.013,-0.958
Edirne,1968,11,-0.145,-0.383,-0.525,-0.462,-0.267,-0.048,-1.678,-1.463,-0.778,-0.799
Edirne,1968,12,0.682,0.794,-0.345,-0.295,0.083,0.391,-1.026,-0.974,-0.491,-0.466
Edirne,1969,1,0.590,0.694,0.469,0.618,0.500,0.852,-0.285,-0.167,-0.997,-1.025
Edirne,1969,2,1.333,1.387,1.159,1.288,0.609,0.778,0.593,0.849,-0.404,-0.381
Edirne,1969,3,0.203,0.397,0.923,1.110,0.443,0.644,0.612,0.916,-0.152,-0.007
