name,indeks,n_olay,mu_yil,Kendall_tau,copula,theta,lambda_U,CvM,S_marjinal,S_AD,D_marjinal,D_AD
Edirne,SPEI,42,1.41,0.841,Gumbel,6.27,0.883,0.0615,LN,0.512,LN,9.435
Edirne,SPI,44,1.34,0.851,Frank,25.133,0.0,0.1091,LN,0.559,LN,7.82
Kırklareli,SPEI,44,1.34,0.871,Frank,29.32,0.0,0.0933,LN,0.364,LN,8.246
Kırklareli,SPI,43,1.37,0.797,Joe,8.617,0.916,0.0639,GEV,0.216,GEV,1.28
Lüleburgaz,SPEI,42,1.41,0.851,Gumbel,6.689,0.891,0.057,LN,0.346,LN,8.99
Lüleburgaz,SPI,44,1.34,0.778,Joe,7.802,0.907,0.0674,LN,0.762,GEV,1.573
Sarıyer,SPEI,43,1.37,0.86,Frank,26.721,0.0,0.0912,LN,0.841,LN,7.99
Sarıyer,SPI,41,1.44,0.876,Frank,30.515,0.0,0.0578,LN,0.819,LN,8.739
Tekirdağ,SPEI,40,1.48,0.788,Frank,17.036,0.0,0.0845,GEV,0.845,GEV,1.323
Tekirdağ,SPI,39,1.52,0.834,Gumbel,6.01,0.878,0.0596,LN,0.601,LN,8.196
Uzunköprü,SPEI,43,1.37,0.843,Frank,23.73,0.0,0.1673,GEV,0.778,LN,7.191
Uzunköprü,SPI,41,1.44,0.831,Frank,21.913,0.0,0.2241,LN,0.425,LN,6.736
Çorlu,SPEI,39,1.52,0.855,Frank,25.823,0.0,0.0536,LN,0.706,LN,8.321
Çorlu,SPI,31,1.91,0.814,Gauss,0.958,0.0,0.0362,LN,0.871,GEV,1.219
İpsala,SPEI,30,1.97,0.821,Joe,9.909,0.928,0.0416,LN,0.371,GEV,0.871
İpsala,SPI,32,1.85,0.868,Frank,28.514,0.0,0.0733,LN,0.406,LN,6.98
