name,indeks,olay,S,D_ay,T_AND_yil,T_OR_yil
Edirne,SPEI,2022/01–2024/12,53.017,36,25.0,5.0
Edirne,SPI,2000/02–2002/09,35.503,32,16.0,6.0
Kırklareli,SPEI,2000/01–2002/09,62.084,33,34.0,6.0
Kırklareli,SPI,1989/02–1995/04,76.771,75,41.0,29.0
Lüleburgaz,SPEI,2003/06–2005/11,53.44,30,35.0,6.0
Lüleburgaz,SPI,2019/06–2020/12,38.688,19,25.0,8.0
Sarıyer,SPEI,1992/09–1995/02,34.568,30,17.0,6.0
Sarıyer,SPI,1992/09–1995/01,40.235,29,19.0,6.0
Tekirdağ,SPEI,2019/01–2024/12,90.016,72,67.0,20.0
Tekirdağ,SPI,2019/06–2023/12,70.735,55,45.0,6.0
Uzunköprü,SPEI,2022/12–2024/12,61.888,25,28.0,7.0
Uzunköprü,SPI,2022/12–2024/12,44.667,25,21.0,9.0
Çorlu,SPEI,2022/01–2024/12,65.396,36,25.0,6.0
Çorlu,SPI,2022/05–2024/12,46.696,32,25.0,16.0
İpsala,SPEI,2015/12–2021/11,92.731,72,51.0,28.0
İpsala,SPI,2016/03–2021/11,82.565,69,50.0,7.0
