ssp,pencere,indeks,name,D,T10_gel,T50_gel,T100_gel,T10_tar,T50_tar,T100_tar,dT10_%,dT50_%,dT100_%
ssp245,2030-2059,SPEI,Edirne,3,7.9,10.83,13.18,5.21,7.42,8.29,52.0,46.0,59.0
ssp245,2030-2059,SPEI,Edirne,6,13.73,21.19,25.76,8.84,13.2,15.1,55.0,61.0,71.0
ssp245,2030-2059,SPEI,Edirne,9,18.67,31.81,37.87,11.79,18.3,21.41,58.0,74.0,77.0
ssp245,2030-2059,SPEI,Edirne,12,23.13,39.82,52.04,13.97,24.12,29.47,66.0,65.0,77.0
ssp245,2030-2059,SPEI,Kırklareli,3,8.48,11.41,13.08,5.16,8.3,9.79,64.0,37.0,34.0
ssp245,2030-2059,SPEI,Kırklareli,6,15.31,21.75,24.35,9.45,15.93,19.19,62.0,37.0,27.0
ssp245,2030-2059,SPEI,Kırklareli,9,19.8,33.61,34.62,12.6,23.78,30.6,57.0,41.0,13.0
ssp245,2030-2059,SPEI,Kırklareli,12,24.41,44.92,47.39,15.27,29.94,39.73,60.0,50.0,19.0
ssp245,2030-2059,SPEI,Lüleburgaz,3,9.2,17.64,19.47,6.2,18.25,26.8,48.0,-3.0,-27.0
ssp245,2030-2059,SPEI,Lüleburgaz,6,14.95,26.52,32.06,10.4,24.36,32.53,44.0,9.0,-1.0
ssp245,2030-2059,SPEI,Lüleburgaz,9,19.76,40.83,44.1,13.17,27.84,35.28,50.0,47.0,25.0
ssp245,2030-2059,SPEI,Sarıyer,3,6.57,8.57,9.53,5.21,7.43,8.35,26.0,15.0,14.0
ssp245,2030-2059,SPEI,Sarıyer,6,12.07,15.57,17.09,9.24,12.59,13.9,31.0,24.0,23.0
ssp245,2030-2059,SPEI,Sarıyer,9,16.59,21.64,23.92,12.61,16.98,18.78,32.0,27.0,27.0
ssp245,2030-2059,SPEI,Sarıyer,12,21.73,27.04,29.79,16.2,22.76,25.37,34.0,19.0,17.0
ssp245,2030-2059,SPEI,Tekirdağ,3,6.79,10.56,12.27,5.23,7.44,8.34,30.0,42.0,47.0
ssp245,2030-2059,SPEI,Tekirdağ,6,12.07,18.48,21.53,10.14,14.18,15.64,19.0,30.0,38.0
ssp245,2030-2059,SPEI,Tekirdağ,9,16.88,27.46,32.42,13.89,21.17,24.34,22.0,30.0,33.0
ssp245,2030-2059,SPEI,Tekirdağ,12,20.66,41.07,50.19,17.12,27.16,31.21,21.0,51.0,61.0
ssp245,2030-2059,SPEI,Uzunköprü,3,7.93,14.85,16.29,5.42,7.66,8.56,46.0,94.0,90.0
ssp245,2030-2059,SPEI,Uzunköprü,6,14.22,24.48,27.98,9.87,13.71,15.23,44.0,79.0,84.0
ssp245,2030-2059,SPEI,Uzunköprü,9,18.4,34.57,37.63,13.86,20.37,23.03,33.0,70.0,63.0
ssp245,2030-2059,SPEI,Uzunköprü,12,27.88,44.07,53.459999999999994,16.92,24.9,28.14,65.0,77.0,90.0
ssp245,2030-2059,SPEI,Çorlu,3,7.13,9.46,10.58,5.43,8.08,9.18,31.0,17.0,15.0
ssp245,2030-2059,SPEI,Çorlu,6,12.2,15.96,17.87,10.09,16.01,18.75,21.0,-0.0,-5.0
ssp245,2030-2059,SPEI,Çorlu,9,16.76,25.11,29.4,14.17,22.24,26.06,18.0,13.0,13.0
ssp245,2030-2059,SPEI,Çorlu,12,21.21,30.33,34.92,17.46,27.96,33.41,21.0,8.0,5.0
ssp245,2030-2059,SPEI,İpsala,3,6.61,10.82,12.07,5.49,7.8,8.63,20.0,39.0,40.0
