model,ssp,name,indeks,pencere,D,n_nonzero,P0,dagilim,T10,T50,T100
ACCESS-CM2,ssp245,Edirne,SPI,2030-2059,3,27,0.1,Normal,6.04,7.45,7.95
ACCESS-CM2,ssp245,Edirne,SPI,2030-2059,6,22,0.267,Lojistik,10.89,13.62,14.74
ACCESS-CM2,ssp245,Edirne,SPI,2030-2059,9,19,0.367,Lojistik,15.37,18.73,20.09
ACCESS-CM2,ssp245,Edirne,SPI,2030-2059,12,17,0.433,Lojistik,18.74,22.53,24.05
ACCESS-CM2,ssp245,Edirne,SPI,2070-2099,3,17,0.433,GEV,3.78,6.9,8.59
ACCESS-CM2,ssp245,Edirne,SPI,2070-2099,6,12,0.6,GEV,7.72,11.47,12.95
ACCESS-CM2,ssp245,Edirne,SPEI,2030-2059,3,30,0.0,Normal,10.97,13.08,13.82
ACCESS-CM2,ssp245,Edirne,SPEI,2030-2059,6,29,0.033,Weibull3,20.5,24.43,25.76
ACCESS-CM2,ssp245,Edirne,SPEI,2030-2059,9,25,0.167,Normal,29.98,35.83,37.87
ACCESS-CM2,ssp245,Edirne,SPEI,2030-2059,12,23,0.233,Lojistik,38.72,48.16,52.04
ACCESS-CM2,ssp245,Edirne,SPEI,2070-2099,3,29,0.033,Weibull3,11.03,14.34,15.58
ACCESS-CM2,ssp245,Edirne,SPEI,2070-2099,6,29,0.033,Normal,20.36,24.99,26.61
ACCESS-CM2,ssp245,Edirne,SPEI,2070-2099,9,25,0.167,GEV,29.89,34.86,36.21
ACCESS-CM2,ssp245,Edirne,SPEI,2070-2099,12,22,0.267,GEV,38.59,43.53,44.66
ACCESS-CM2,ssp245,Kırklareli,SPI,2030-2059,3,27,0.1,Lojistik,5.79,7.39,8.05
ACCESS-CM2,ssp245,Kırklareli,SPI,2030-2059,6,23,0.233,Normal,10.89,13.22,14.03
ACCESS-CM2,ssp245,Kırklareli,SPI,2030-2059,9,20,0.333,Lojistik,15.71,19.75,21.39
ACCESS-CM2,ssp245,Kırklareli,SPI,2030-2059,12,17,0.433,Gumbel,19.5,25.66,28.23
ACCESS-CM2,ssp245,Kırklareli,SPI,2070-2099,3,16,0.467,Gumbel,3.89,5.93,6.77
ACCESS-CM2,ssp245,Kırklareli,SPI,2070-2099,6,15,0.5,Lojistik,7.32,10.42,11.66
ACCESS-CM2,ssp245,Kırklareli,SPEI,2030-2059,3,30,0.0,Normal,11.09,13.14,13.87
ACCESS-CM2,ssp245,Kırklareli,SPEI,2030-2059,6,29,0.033,GEV,21.0,23.56,24.2
ACCESS-CM2,ssp245,Kırklareli,SPEI,2030-2059,9,28,0.067,GEV,29.71,33.61,34.62
ACCESS-CM2,ssp245,Kırklareli,SPEI,2030-2059,12,26,0.133,Normal,37.87,44.92,47.39
ACCESS-CM2,ssp245,Kırklareli,SPEI,2070-2099,3,29,0.033,Weibull3,10.89,14.02,15.18
ACCESS-CM2,ssp245,Kırklareli,SPEI,2070-2099,6,29,0.033,GEV,20.22,22.86,23.5
ACCESS-CM2,ssp245,Kırklareli,SPEI,2070-2099,9,25,0.167,GEV,29.0,32.37,33.14
ACCESS-CM2,ssp245,Kırklareli,SPEI,2070-2099,12,23,0.233,GEV,37.2,41.89,42.98
ACCESS-CM2,ssp245,Lüleburgaz,SPI,2030-2059,3,25,0.167,Normal,5.0,6.29,6.74
ACCESS-CM2,ssp245,Lüleburgaz,SPI,2030-2059,6,20,0.333,Normal,9.33,11.6,12.38
ACCESS-CM2,ssp245,Lüleburgaz,SPI,2030-2059,9,18,0.4,Lojistik,13.38,17.18,18.71
ACCESS-CM2,ssp245,Lüleburgaz,SPI,2030-2059,12,14,0.533,Lojistik,16.47,21.11,22.95
ACCESS-CM2,ssp245,Lüleburgaz,SPI,2070-2099,3,14,0.533,GEV,3.13,6.5,8.56
ACCESS-CM2,ssp245,Lüleburgaz,SPEI,2030-2059,3,29,0.033,Lojistik,13.23,17.64,19.47
ACCESS-CM2,ssp245,Lüleburgaz,SPEI,2030-2059,6,28,0.067,Lojistik,22.18,29.17,32.06
ACCESS-CM2,ssp245,Lüleburgaz,SPEI,2030-2059,9,25,0.167,LN3,31.95,40.83,44.1
ACCESS-CM2,ssp245,Lüleburgaz,SPEI,2030-2059,12,21,0.3,Gumbel,41.16,57.8,64.78
ACCESS-CM2,ssp245,Lüleburgaz,SPEI,2070-2099,3,29,0.033,Gamma3,13.46,19.45,21.89
ACCESS-CM2,ssp245,Lüleburgaz,SPEI,2070-2099,6,27,0.1,Normal,22.54,28.41,30.47
ACCESS-CM2,ssp245,Lüleburgaz,SPEI,2070-2099,9,24,0.2,Normal,32.32,40.52,43.37
ACCESS-CM2,ssp245,Lüleburgaz,SPEI,2070-2099,12,21,0.3,GEV,41.81,49.4,51.31
ACCESS-CM2,ssp245,Sarıyer,SPI,2030-2059,3,25,0.167,Weibull3,7.47,10.25,11.3
ACCESS-CM2,ssp245,Sarıyer,SPI,2030-2059,6,21,0.3,Normal,13.67,17.33,18.59
ACCESS-CM2,ssp245,Sarıyer,SPI,2030-2059,9,17,0.433,Weibull3,19.64,26.92,29.61
ACCESS-CM2,ssp245,Sarıyer,SPI,2030-2059,12,15,0.5,GEV,23.91,37.13,43.88
ACCESS-CM2,ssp245,Sarıyer,SPI,2070-2099,3,20,0.333,Weibull3,4.87,6.86,7.6
ACCESS-CM2,ssp245,Sarıyer,SPI,2070-2099,6,17,0.433,Weibull3,9.26,14.28,16.28
ACCESS-CM2,ssp245,Sarıyer,SPI,2070-2099,9,14,0.533,GEV,14.15,16.36,16.77
ACCESS-CM2,ssp245,Sarıyer,SPI,2070-2099,12,12,0.6,Lojistik,17.47,23.11,25.31
ACCESS-CM2,ssp245,Sarıyer,SPEI,2030-2059,3,30,0.0,Lojistik,9.52,12.06,13.11
ACCESS-CM2,ssp245,Sarıyer,SPEI,2030-2059,6,27,0.1,GEV,17.59,22.19,23.88
ACCESS-CM2,ssp245,Sarıyer,SPEI,2030-2059,9,24,0.2,Gamma3,26.01,35.44,39.37
ACCESS-CM2,ssp245,Sarıyer,SPEI,2030-2059,12,23,0.233,LN3,33.79,47.7,54.11
ACCESS-CM2,ssp245,Sarıyer,SPEI,2070-2099,3,29,0.033,Weibull3,8.85,10.82,11.51
ACCESS-CM2,ssp245,Sarıyer,SPEI,2070-2099,6,27,0.1,Weibull3,16.64,19.95,21.08
ACCESS-CM2,ssp245,Sarıyer,SPEI,2070-2099,9,27,0.1,Weibull3,24.14,28.86,30.46
ACCESS-CM2,ssp245,Sarıyer,SPEI,2070-2099,12,25,0.167,Gamma3,31.5,37.6,39.76
ACCESS-CM2,ssp245,Tekirdağ,SPI,2030-2059,3,26,0.133,Gumbel,6.33,9.11,10.29
ACCESS-CM2,ssp245,Tekirdağ,SPI,2030-2059,6,23,0.233,GEV,10.6,11.84,12.1
ACCESS-CM2,ssp245,Tekirdağ,SPI,2030-2059,9,19,0.367,GEV,14.6,16.11,16.44
ACCESS-CM2,ssp245,Tekirdağ,SPI,2030-2059,12,16,0.467,Lojistik,18.27,21.78,23.19
ACCESS-CM2,ssp245,Tekirdağ,SPI,2070-2099,3,16,0.467,GEV,3.17,4.95,5.75
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2030-2059,3,30,0.0,Lojistik,9.41,11.73,12.7
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2030-2059,6,27,0.1,Weibull3,18.2,21.64,22.81
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2030-2059,9,25,0.167,Weibull3,26.4,30.92,32.42
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2030-2059,12,24,0.2,Gamma3,33.82,45.37,50.19
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2070-2099,3,29,0.033,GEV,8.34,9.92,10.41
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2070-2099,6,29,0.033,Weibull3,15.79,18.72,19.71
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2070-2099,9,28,0.067,GEV,22.74,25.98,26.86
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2070-2099,12,26,0.133,GEV,29.59,32.96,33.77
ACCESS-CM2,ssp245,Uzunköprü,SPI,2030-2059,3,26,0.133,GEV,4.99,6.33,6.78
