ssp,pencere,D,T,deger,CI5,CI95,model_min,model_maks,tarihsel,degisim_%,degisim_CI5,degisim_CI95
ssp245,2030-2059,6,50,19.1,16.6,20.3,16.5,24.4,15.4,23.0,10.0,47.0
ssp245,2030-2059,6,100,22.6,19.3,24.0,17.8,25.3,17.6,29.0,10.0,49.0
ssp245,2030-2059,12,50,32.4,28.2,33.7,25.7,46.0,26.9,20.0,6.0,39.0
ssp245,2030-2059,12,100,36.8,32.9,39.0,26.6,48.2,31.9,15.0,4.0,37.0
ssp245,2070-2099,6,50,24.6,22.0,25.3,19.8,25.4,15.4,59.0,44.0,79.0
ssp245,2070-2099,6,100,26.0,23.2,27.2,21.3,27.5,17.6,48.0,31.0,68.0
ssp245,2070-2099,12,50,42.3,38.1,42.5,33.8,42.4,26.9,57.0,40.0,69.0
ssp245,2070-2099,12,100,43.9,39.4,44.5,36.0,45.0,31.9,37.0,24.0,54.0
ssp585,2030-2059,6,50,21.7,18.9,22.2,19.8,23.5,15.4,41.0,27.0,57.0
ssp585,2030-2059,6,100,23.6,20.3,24.0,21.0,26.4,17.6,35.0,17.0,51.0
ssp585,2030-2059,12,50,40.2,34.2,41.2,32.6,43.8,26.9,49.0,30.0,64.0
ssp585,2030-2059,12,100,43.0,38.0,44.8,34.6,53.2,31.9,35.0,21.0,55.0
ssp585,2070-2099,6,50,27.5,26.9,28.1,26.8,27.7,15.4,78.0,74.0,105.0
ssp585,2070-2099,6,100,27.8,27.3,28.5,27.2,28.0,17.6,58.0,52.0,83.0
ssp585,2070-2099,12,50,49.3,48.7,52.6,48.8,54.3,26.9,83.0,84.0,115.0
ssp585,2070-2099,12,100,50.4,49.8,54.4,50.1,54.6,31.9,58.0,60.0,87.0
