ssp,pencere,D,T,gelecek_medyan,gelecek_5,gelecek_95,tarihsel_medyan,degisim_%,degisim_5,degisim_95,boot_medyan_degisim,degisim_5_ortak,degisim_95_ortak,n_ist,kullanilabilir_rep_%
ssp245,2030-2059,6,50,19.8,17.4,22.3,14.0,27.0,17.0,45.0,31.0,14.0,56.0,8,100.0
ssp245,2030-2059,6,100,22.9,19.5,24.5,15.5,27.0,15.0,41.0,26.0,7.0,55.0,8,100.0
ssp245,2030-2059,12,50,39.8,29.4,40.6,27.2,50.0,13.0,50.0,29.0,8.0,61.0,7,100.0
ssp245,2030-2059,12,100,47.4,31.9,45.5,31.2,32.0,3.0,35.0,17.0,-4.0,55.0,7,100.0
ssp245,2070-2099,6,50,23.4,21.8,25.5,14.0,51.0,41.0,64.0,50.0,38.0,89.0,8,100.0
ssp245,2070-2099,6,100,24.9,23.1,27.7,15.5,44.0,32.0,59.0,42.0,29.0,83.0,8,100.0
ssp245,2070-2099,12,50,38.9,36.3,42.1,27.2,40.0,35.0,64.0,47.0,29.0,79.0,7,100.0
ssp245,2070-2099,12,100,42.5,38.9,44.4,31.2,27.0,18.0,50.0,30.0,11.0,64.0,7,100.0
ssp585,2030-2059,6,50,21.5,19.4,22.6,14.0,40.0,32.0,49.0,41.0,27.0,66.0,8,100.0
ssp585,2030-2059,6,100,23.0,20.9,24.7,15.5,34.0,26.0,46.0,35.0,19.0,64.0,8,100.0
ssp585,2030-2059,12,50,38.1,33.6,40.2,27.2,42.0,27.0,54.0,39.0,22.0,67.0,7,100.0
ssp585,2030-2059,12,100,42.3,36.0,44.8,31.2,37.0,14.0,48.0,29.0,9.0,61.0,7,100.0
ssp585,2070-2099,6,50,27.3,26.6,27.8,14.0,86.0,79.0,89.0,84.0,70.0,114.0,8,100.0
ssp585,2070-2099,6,100,27.7,27.0,28.0,15.5,70.0,61.0,72.0,67.0,49.0,96.0,8,100.0
ssp585,2070-2099,12,50,50.0,47.6,51.0,27.2,92.0,82.0,101.0,92.0,71.0,128.0,7,100.0
ssp585,2070-2099,12,100,50.4,48.9,52.8,31.2,66.0,54.0,79.0,67.0,45.0,103.0,7,100.0
