name,indeks,k,D,T100,T100_gev,d100
Lüleburgaz,SPEI,12,3,26.8,46.5,73.4
Lüleburgaz,SPEI,12,2,14.1,23.3,65.5
Lüleburgaz,SPEI,12,4,24.8,39.7,60.1
Lüleburgaz,SPEI,6,9,23.3,35.0,50.4
Lüleburgaz,SPEI,12,5,28.9,42.3,46.3
Tekirdağ,SPEI,12,1,4.2,6.1,45.5
Çorlu,SPEI,12,1,3.5,4.6,33.4
Kırklareli,SPEI,12,1,3.3,4.3,30.6
Lüleburgaz,SPEI,6,10,23.6,30.6,29.6
Lüleburgaz,SPEI,3,1,3.2,4.1,28.8
Uzunköprü,SPEI,9,4,11.1,14.3,28.3
Çorlu,SPEI,6,2,5.7,7.1,25.2
Uzunköprü,SPEI,12,6,15.2,19.1,25.1
İpsala,SPI,9,2,6.7,8.3,24.5
Uzunköprü,SPEI,12,3,8.6,10.6,23.9
Uzunköprü,SPEI,12,7,17.0,21.0,23.6
Uzunköprü,SPEI,9,5,12.6,15.5,22.8
Lüleburgaz,SPEI,12,6,32.5,39.9,22.5
Uzunköprü,SPEI,12,8,18.7,22.9,22.2
Uzunköprü,SPI,12,2,6.0,4.7,21.7
Çorlu,SPEI,1,1,3.0,3.7,21.7
Tekirdağ,SPEI,12,2,9.4,11.4,21.6
İpsala,SPEI,3,1,3.0,3.6,21.5
Tekirdağ,SPEI,12,3,8.3,10.1,21.1
İpsala,SPI,6,4,10.3,12.4,20.7
Sarıyer,SPEI,12,1,3.0,3.6,20.6
