name,indeks,k,D,n_nonzero,P0,dagilim,AD,uygun,T2,T5,T10,T25,T50,T100,T10_gev,T50_gev,T100_gev
Edirne,SPEI,1,1,59,0.0,Gamma3,0.099,True,1.43,1.81,2.04,2.32,2.52,2.7,2.032981347243672,2.5100840812969603,2.6990817621780425
Edirne,SPEI,1,2,55,0.068,LN3,0.214,True,2.08,2.88,3.36,3.92,4.32,4.7,3.3405257263824133,4.209797885860823,4.528031838496764
Edirne,SPEI,1,3,41,0.305,GEV,0.239,True,2.21,3.5,4.26,5.21,5.92,6.62,4.263052785376971,5.917942625390838,6.617880887896057
Edirne,SPEI,1,4,24,0.593,Lojistik,0.323,True,0.0,3.32,4.1,4.89,5.43,5.95,4.263169311396322,5.9170295080455055,6.501260325376917
Edirne,SPEI,3,1,58,0.017,GEV,0.3,True,1.34,1.91,2.33,2.89,3.34,3.81,2.3251442251457797,3.3360911022089415,3.8112699368209446
Edirne,SPEI,3,2,55,0.068,GEV,0.228,True,2.21,3.22,3.95,4.97,5.79,6.67,3.954694182667586,5.788555195491875,6.66832201668888
Edirne,SPEI,3,3,50,0.153,Gumbel,0.291,True,2.91,4.35,5.27,6.41,7.26,8.1,5.355437785492061,7.850631580864857,9.018288600872276
Edirne,SPEI,3,4,42,0.288,Weibull3,0.395,True,2.76,5.06,6.61,8.52,9.91,11.25,6.380980913786148,10.06514257754256,11.910641857216746
Edirne,SPEI,3,5,34,0.424,Weibull3,0.573,True,2.68,5.59,7.29,9.27,10.65,11.96,7.070902124371708,10.695885927179724,12.370693115811765
Edirne,SPEI,3,6,26,0.559,GEV,0.316,True,0.0,5.65,7.49,9.9,11.83,13.9,7.487937711157887,11.828053767376488,13.903599451452553
Edirne,SPEI,3,7,20,0.661,Gumbel,0.405,True,0.0,5.35,7.25,9.31,10.78,12.21,7.17692185279078,11.178287607431884,12.968194766043126
Edirne,SPEI,3,8,16,0.729,Lojistik,0.303,True,0.0,5.65,8.05,9.91,11.1,12.22,8.024395680457136,11.963195389423985,13.442803610801958
Edirne,SPEI,6,1,57,0.034,Gumbel,0.523,True,1.11,1.78,2.22,2.77,3.18,3.59,2.2215258191954312,3.2026584091539916,3.6205421484356703
Edirne,SPEI,6,2,51,0.136,LN3,0.342,True,2.02,3.21,3.95,4.86,5.53,6.18,3.944426200774405,5.574213520379424,6.258012603356005
Edirne,SPEI,6,3,48,0.186,LN3,0.218,True,2.67,4.38,5.47,6.82,7.82,8.82,5.441657135326359,7.889121705807874,8.95505638303894
Edirne,SPEI,6,4,41,0.305,GEV,0.215,True,3.13,5.51,6.9,8.59,9.82,11.03,6.900654654576261,9.822027633717038,11.026353397023234
Edirne,SPEI,6,5,38,0.356,Gumbel,0.231,True,3.82,6.41,7.88,9.67,10.99,12.29,7.941239108312998,11.841839265533421,13.681450905987766
Edirne,SPEI,6,6,33,0.441,Gumbel,0.254,True,3.76,7.19,8.9,10.97,12.47,13.96,8.933561198108315,13.114625008949336,15.017328579206751
Edirne,SPEI,6,7,26,0.559,Gumbel,0.408,True,0.0,7.67,9.59,11.82,13.43,15.01,9.585279470716891,13.70483527256983,15.475350602347927
Edirne,SPEI,6,8,22,0.627,Gumbel,0.482,True,0.0,8.27,10.38,12.75,14.44,16.1,10.366807755905493,14.670846968706464,16.49650645498619
Edirne,SPEI,6,9,18,0.695,GEV,0.179,True,0.0,8.2,10.59,13.47,15.76,18.22,10.585776308935307,15.758617786423816,18.21731783443054
Edirne,SPEI,9,1,55,0.068,Normal,0.289,True,1.09,1.67,1.96,2.28,2.48,2.66,1.9840356025780639,2.504153926823056,2.669983475086484
Edirne,SPEI,9,2,48,0.186,Weibull3,0.213,True,1.9,3.1,3.72,4.39,4.82,5.22,3.688289910819325,4.799299631803146,5.187769254741793
Edirne,SPEI,9,3,44,0.254,LN3,0.101,True,2.68,4.38,5.25,6.22,6.86,7.47,5.2849213561641495,6.855120298641873,7.396243001080164
Edirne,SPEI,9,4,37,0.373,Lojistik,0.202,True,3.17,5.48,6.46,7.57,8.36,9.13,6.746016226750816,8.763366287639457,9.451660467735714
Edirne,SPEI,9,5,34,0.424,GEV,0.26,True,3.69,6.58,7.97,9.56,10.66,11.71,7.970084595598946,10.664427505609769,11.706451368832658
Edirne,SPEI,9,6,31,0.475,Gumbel,0.146,True,3.97,7.49,9.05,10.93,12.29,13.63,9.052045051434913,12.23733305417259,13.547584156320871
Edirne,SPEI,9,7,28,0.525,GEV,0.164,True,0.0,8.2,10.04,12.22,13.81,15.4,10.03581386426886,13.814873314890722,15.396520546609798
Edirne,SPEI,9,8,25,0.576,GEV,0.138,True,0.0,8.91,11.01,13.47,15.25,17.01,11.014549602339782,15.2512289964972,17.008969723438778
Edirne,SPEI,9,9,23,0.61,LN3,0.166,True,0.0,9.37,11.77,14.66,16.83,19.02,11.693123398578948,16.779625366457545,19.094501151544968
Edirne,SPEI,9,10,20,0.661,GEV,0.192,True,0.0,9.17,11.59,15.29,18.81,23.18,11.593192522387264,18.805230865582452,23.184647996626843
Edirne,SPEI,12,1,48,0.186,GEV,0.331,True,0.86,1.58,2.01,2.52,2.88,3.23,2.006177775711742,2.884356343948127,3.2324431874327715
Edirne,SPEI,12,2,45,0.237,Weibull3,0.188,True,1.46,2.95,3.81,4.78,5.44,6.06,3.7210781410196585,5.427264577035436,6.119360185295893
Edirne,SPEI,12,3,41,0.305,GEV,0.246,True,2.15,4.11,5.21,6.51,7.42,8.29,5.208128873933482,7.419910328763349,8.293510308368045
Edirne,SPEI,12,4,39,0.339,GEV,0.214,True,2.63,5.18,6.58,8.22,9.38,10.48,6.5756585360660464,9.376667616555673,10.483400034499688
Edirne,SPEI,12,5,34,0.424,GEV,0.168,True,3.03,5.93,7.58,9.74,11.43,13.2,7.579363719764288,11.429318101456058,13.202437198209232
Edirne,SPEI,12,6,31,0.475,GEV,0.233,True,2.61,6.84,8.84,11.32,13.2,15.1,8.839039986208766,13.197733636342365,15.103965920753566
Edirne,SPEI,12,7,29,0.508,GEV,0.208,True,0.0,7.52,9.72,12.71,15.17,17.86,9.720676024699618,15.167965488794298,17.860414450180834
Edirne,SPEI,12,8,27,0.542,GEV,0.278,True,0.0,8.28,10.75,14.02,16.67,19.52,10.752891625287475,16.666235288674457,19.52164990021231
Edirne,SPEI,12,9,25,0.576,GEV,0.408,True,0.0,9.01,11.79,15.41,18.3,21.41,11.793680372466085,18.30028727236372,21.405729522028384
Edirne,SPEI,12,10,24,0.593,GEV,0.394,True,0.0,9.55,12.65,16.75,20.11,23.78,12.647788778944474,20.107069865875282,23.784214036635266
Edirne,SPEI,12,11,23,0.61,GEV,0.417,True,0.0,9.92,13.4,18.09,22.0,26.36,13.404213046219093,22.002328003006156,26.362251188988978
Edirne,SPEI,12,12,21,0.644,GEV,0.368,True,0.0,9.97,13.97,19.43,24.12,29.47,13.965925081133864,24.116287364866935,29.469340604526558
Edirne,SPI,1,1,59,0.0,Gamma3,0.242,True,1.6,2.21,2.57,3.0,3.3,3.59,2.560517488740266,3.287810850030067,3.567673289385342
Edirne,SPI,1,2,53,0.102,Gamma3,0.163,True,1.93,3.03,3.71,4.53,5.11,5.67,3.6580077474092763,5.113661677062815,5.723221257842273
Edirne,SPI,1,3,34,0.424,Gamma3,0.193,True,1.29,3.26,4.32,5.57,6.45,7.3,4.238709447126779,6.264900592844696,7.097686873331322
Edirne,SPI,1,4,15,0.746,GEV,0.173,True,0.0,2.44,3.48,4.54,5.32,6.12,3.479061125184658,5.322313580001635,6.1160569447786886
Edirne,SPI,3,1,58,0.017,Gumbel,0.438,True,1.41,2.05,2.47,3.01,3.4,3.8,2.4674979781731143,3.378016228007609,3.7593152709234947
Edirne,SPI,3,2,54,0.085,GEV,0.23,True,2.27,3.4,4.11,4.98,5.6,6.21,4.111545427377894,5.604972309896439,6.210898827749943
Edirne,SPI,3,3,51,0.136,GEV,0.394,True,2.87,4.38,5.39,6.73,7.76,8.82,5.393259684060976,7.7551383454890495,8.815818946303553
Edirne,SPI,3,4,38,0.356,GEV,0.241,True,2.97,5.04,6.34,8.06,9.42,10.86,6.339705438108917,9.422372766613528,10.85611716736944
Edirne,SPI,3,5,30,0.492,LN3,0.274,True,1.68,5.7,7.01,8.41,9.36,10.24,7.031014058831828,9.435076128278187,10.3120083458086
Edirne,SPI,3,6,23,0.61,Gumbel,0.54,True,0.0,5.22,6.93,8.86,10.25,11.61,6.921369414953444,9.878021840674371,11.002854902662385
Edirne,SPI,3,7,17,0.712,GEV,0.353,True,0.0,5.27,6.59,8.0,9.04,10.09,6.586002295829978,9.040142969809741,10.085067660641407
Edirne,SPI,6,1,55,0.068,GEV,0.167,True,1.2,1.8,2.15,2.54,2.8,3.04,2.15010599405057,2.803516583530997,3.0397616130777187
Edirne,SPI,6,2,51,0.136,LN3,0.271,True,2.12,3.28,3.95,4.73,5.28,5.79,3.955865097356819,5.2256796624564545,5.693139128745488
Edirne,SPI,6,3,49,0.169,LN3,0.407,True,2.85,4.43,5.32,6.36,7.08,7.76,5.336401150537888,7.053732078343742,7.689042688422311
Edirne,SPI,6,4,45,0.237,LN3,0.28,True,3.46,5.48,6.5,7.63,8.37,9.06,6.549221650356171,8.35836696304212,8.966500824750696
Edirne,SPI,6,5,36,0.39,Lojistik,0.313,True,3.65,6.3,7.39,8.61,9.47,10.32,7.556806818462693,9.639526228926954,10.332925361973244
Edirne,SPI,6,6,32,0.458,Normal,0.268,True,2.97,7.13,8.47,9.77,10.58,11.29,8.476244250813387,10.866453663485885,11.653062809364256
Edirne,SPI,6,7,28,0.525,Normal,0.365,True,0.0,7.75,9.22,10.62,11.47,12.22,9.245699139550627,11.658899080308506,12.413685695835413
Edirne,SPI,6,8,23,0.61,Weibull3,0.347,True,0.0,8.38,10.0,11.33,12.07,12.68,10.072195219055116,12.278538665369583,12.87025097485818
Edirne,SPI,6,9,19,0.678,Weibull3,0.354,True,0.0,8.42,10.37,11.72,12.43,12.99,10.444831452376501,12.691796388432216,13.21921327613679
Edirne,SPI,9,1,54,0.085,GEV,0.474,True,1.15,1.63,1.84,2.01,2.09,2.15,1.835651021767199,2.093009375567773,2.1547851190916005
Edirne,SPI,9,2,50,0.153,GEV,0.478,True,2.04,3.02,3.43,3.8,3.99,4.14,3.430727360691721,3.99184508360191,4.136249844470673
Edirne,SPI,9,3,46,0.22,Gamma3,0.346,True,2.68,4.14,4.84,5.57,6.04,6.46,4.8311429039522995,5.6713623226749945,5.891802515954961
Edirne,SPI,9,4,38,0.356,Gumbel,0.383,True,3.14,5.03,6.1,7.41,8.37,9.32,5.960398445921824,7.2781017184030965,7.6928570938123375
Edirne,SPI,9,5,38,0.356,Weibull3,0.454,True,3.67,6.15,7.2,8.25,8.89,9.45,7.189034233617232,8.713828322296484,9.163365113055262
Edirne,SPI,9,6,29,0.508,GEV,0.3,True,0.0,7.24,8.38,9.38,9.93,10.35,8.38437000755489,9.92583617619171,10.34565054828317
Edirne,SPI,9,7,27,0.542,GEV,0.307,True,0.0,8.24,9.47,10.49,11.03,11.44,9.468804139320156,11.034221238232965,11.442127593454863
Edirne,SPI,9,8,25,0.576,GEV,0.212,True,0.0,9.19,10.5,11.42,11.84,12.13,10.495642956176184,11.842511824342623,12.125948788368248
Edirne,SPI,9,9,25,0.576,GEV,0.299,True,0.0,10.03,11.37,12.24,12.6,12.83,11.371067055552661,12.604027885463406,12.831786730635823
Edirne,SPI,9,10,24,0.593,GEV,0.223,True,0.0,10.11,11.71,12.88,13.43,13.82,11.70551048801576,13.432532517722315,13.81960286162943
Edirne,SPI,9,11,19,0.678,GEV,0.141,True,0.0,9.91,12.21,13.72,14.4,14.87,12.206487294356906,14.400092926284739,14.868519524159684
Edirne,SPI,9,12,15,0.746,GEV,0.215,True,0.0,9.98,12.73,14.47,15.32,15.95,12.727623971521526,15.319033379777164,15.952138712008999
Edirne,SPI,12,1,49,0.169,GEV,0.319,True,0.95,1.51,1.75,1.98,2.1,2.2,1.7536421092300807,2.104865135167661,2.2002423415747905
Edirne,SPI,12,2,45,0.237,Weibull3,0.366,True,1.67,2.77,3.31,3.87,4.23,4.55,3.279508373936224,4.019244799423788,4.236812607918756
Edirne,SPI,12,3,43,0.271,Weibull3,0.451,True,2.29,3.8,4.57,5.39,5.93,6.41,4.513006257457933,5.480781049242566,5.762310759951323
Edirne,SPI,12,4,40,0.322,GEV,0.679,True,2.96,5.01,5.78,6.45,6.8,7.06,5.7845111990476425,6.803691096896164,7.06359172920993
Edirne,SPI,12,5,38,0.356,GEV,0.465,True,3.4,6.04,6.94,7.68,8.05,8.32,6.941593758151329,8.051400179059879,8.316137895996775
Edirne,SPI,12,6,37,0.373,GEV,0.427,True,3.91,7.01,8.07,8.96,9.41,9.74,8.071386282481575,9.41134259707514,9.740653901803363
Edirne,SPI,12,7,36,0.39,GEV,0.382,True,4.37,7.86,9.1,10.19,10.76,11.2,9.100725997993067,10.763719927986678,11.202061384373659
Edirne,SPI,12,8,32,0.458,GEV,0.211,True,3.84,8.69,10.12,11.37,12.03,12.53,10.12295491154598,12.029079726216892,12.533673718493397
Edirne,SPI,12,9,31,0.475,Normal,0.149,True,3.8,9.44,11.08,12.67,13.65,14.52,11.175429898813016,13.378326151703327,13.976046401850066
Edirne,SPI,12,10,30,0.492,Lojistik,0.14,True,2.61,10.19,11.83,13.6,14.83,16.03,12.081863192359258,14.634757392268618,15.380344987338683
Edirne,SPI,12,11,27,0.542,Lojistik,0.205,True,0.0,10.93,12.73,14.62,15.92,17.19,13.050455328521753,15.873614214638867,16.68660682188929
