name,indeks,D,n,secilen,AD,p_boot,B_ok,AICc_secim,uyum
Edirne,SPEI,1,48,GEV,0.331,0.384,250,Weibull3,False
Edirne,SPEI,2,45,Weibull3,0.188,0.94,250,Weibull3,True
Edirne,SPEI,3,41,GEV,0.246,0.62,250,Gumbel,False
Edirne,SPEI,4,39,GEV,0.214,0.732,250,Gumbel,False
Edirne,SPEI,5,34,GEV,0.168,0.9,250,Gumbel,False
Edirne,SPEI,6,31,GEV,0.233,0.672,250,Gumbel,False
Edirne,SPEI,7,29,GEV,0.208,0.776,250,Gumbel,False
Edirne,SPEI,8,27,GEV,0.278,0.516,250,Gumbel,False
Edirne,SPEI,9,25,GEV,0.408,0.24,250,Gumbel,False
Edirne,SPEI,10,24,GEV,0.394,0.232,250,Gumbel,False
Edirne,SPEI,11,23,GEV,0.417,0.18,250,Gumbel,False
Edirne,SPEI,12,21,GEV,0.368,0.2,250,Gumbel,False
Edirne,SPI,1,49,GEV,0.319,0.44,250,Normal,False
Edirne,SPI,2,45,Weibull3,0.366,0.336,250,Normal,False
Edirne,SPI,3,43,Weibull3,0.451,0.204,250,Weibull3,True
Edirne,SPI,4,40,GEV,0.679,0.044,250,Weibull3,False
Edirne,SPI,5,38,GEV,0.465,0.208,250,Normal,False
Edirne,SPI,6,37,GEV,0.427,0.26,250,Normal,False
Edirne,SPI,7,36,GEV,0.382,0.304,250,Normal,False
Edirne,SPI,8,32,GEV,0.211,0.804,250,Normal,False
Edirne,SPI,9,31,Normal,0.149,0.988,250,Normal,True
Edirne,SPI,10,30,Lojistik,0.14,0.988,250,Normal,False
Edirne,SPI,11,27,Lojistik,0.205,0.836,250,Normal,False
Edirne,SPI,12,25,Lojistik,0.331,0.468,250,Normal,False
Kırklareli,SPEI,1,50,Gumbel,0.607,0.12,250,Gamma3,False
Kırklareli,SPEI,2,42,Gumbel,0.314,0.572,250,Gumbel,True
Kırklareli,SPEI,3,37,GEV,0.354,0.296,250,Gumbel,False
Kırklareli,SPEI,4,36,GEV,0.289,0.484,250,Gumbel,False
Kırklareli,SPEI,5,35,GEV,0.335,0.316,250,Gumbel,False
Kırklareli,SPEI,6,34,GEV,0.475,0.092,250,GEV,True
Kırklareli,SPEI,7,33,GEV,0.373,0.268,250,GEV,True
Kırklareli,SPEI,8,27,GEV,0.229,0.66,250,Weibull3,False
Kırklareli,SPEI,9,26,GEV,0.234,0.656,250,GEV,True
Kırklareli,SPEI,10,24,GEV,0.219,0.696,250,Gamma3,False
Kırklareli,SPEI,11,22,GEV,0.224,0.688,250,Weibull3,False
Kırklareli,SPEI,12,20,GEV,0.173,0.868,250,Weibull3,False
Kırklareli,SPI,1,49,Gamma3,0.221,0.852,250,Weibull3,False
Kırklareli,SPI,2,43,Weibull3,0.39,0.388,250,Weibull3,True
Kırklareli,SPI,3,39,Gumbel,0.44,0.308,250,Weibull3,False
Kırklareli,SPI,4,35,GEV,0.262,0.552,250,Gumbel,False
Kırklareli,SPI,5,33,GEV,0.27,0.564,250,Weibull3,False
Kırklareli,SPI,6,32,GEV,0.288,0.472,250,Gamma3,False
Kırklareli,SPI,7,29,GEV,0.329,0.336,250,Weibull3,False
Kırklareli,SPI,8,25,LN3,0.458,0.136,250,Gamma3,False
Kırklareli,SPI,9,24,GEV,0.529,0.068,250,Gamma3,False
Kırklareli,SPI,10,23,GEV,0.645,0.036,250,Gamma3,False
Kırklareli,SPI,11,22,GEV,0.652,0.028,250,Gamma3,False
Kırklareli,SPI,12,20,Gumbel,0.728,0.052,250,Weibull3,False
Lüleburgaz,SPEI,1,46,GEV,0.412,0.184,250,Gamma3,False
Lüleburgaz,SPEI,2,39,LN3,0.302,0.504,250,Gamma3,False
Lüleburgaz,SPEI,3,37,LN3,0.316,0.488,250,Weibull3,False
Lüleburgaz,SPEI,4,34,LN3,0.387,0.244,250,Gamma3,False
Lüleburgaz,SPEI,5,32,LN3,0.297,0.5,250,Weibull3,False
Lüleburgaz,SPEI,6,29,LN3,0.219,0.76,250,Weibull3,False
Lüleburgaz,SPEI,7,24,LN3,0.223,0.728,250,Gamma3,False
Lüleburgaz,SPEI,8,19,LN3,0.299,0.496,250,Weibull3,False
Lüleburgaz,SPEI,9,18,LN3,0.45,0.34,250,Gamma3,False
Lüleburgaz,SPEI,10,16,GEV,0.519,0.056,250,Gamma3,False
Lüleburgaz,SPI,1,49,Weibull3,0.364,0.432,250,Weibull3,True
Lüleburgaz,SPI,2,46,Weibull3,0.398,0.436,250,Weibull3,True
Lüleburgaz,SPI,3,38,Lojistik,0.362,0.364,250,Gumbel,False
Lüleburgaz,SPI,4,35,Lojistik,0.3,0.548,250,Gumbel,False
Lüleburgaz,SPI,5,35,Lojistik,0.364,0.372,250,Weibull3,False
Lüleburgaz,SPI,6,34,Lojistik,0.309,0.552,250,Gumbel,False
Lüleburgaz,SPI,7,30,Lojistik,0.262,0.68,250,Gumbel,False
Lüleburgaz,SPI,8,26,Lojistik,0.304,0.532,250,Gumbel,False
Lüleburgaz,SPI,9,26,Lojistik,0.267,0.664,250,Gumbel,False
Lüleburgaz,SPI,10,25,Lojistik,0.286,0.576,250,Gumbel,False
Lüleburgaz,SPI,11,24,Lojistik,0.223,0.776,250,Gumbel,False
Lüleburgaz,SPI,12,24,Lojistik,0.218,0.788,250,Gumbel,False
Sarıyer,SPEI,1,50,Lojistik,0.313,0.504,250,Gumbel,False
Sarıyer,SPEI,2,43,Gamma3,0.328,0.4,250,Gumbel,False
Sarıyer,SPEI,3,43,GEV,0.399,0.22,250,Gumbel,False
Sarıyer,SPEI,4,40,GEV,0.296,0.496,250,Gumbel,False
Sarıyer,SPEI,5,34,GEV,0.249,0.672,250,Gumbel,False
Sarıyer,SPEI,6,30,LN3,0.225,0.696,250,Gumbel,False
Sarıyer,SPEI,7,28,Lojistik,0.242,0.768,250,Gumbel,False
Sarıyer,SPEI,8,27,LN3,0.207,0.772,250,Gumbel,False
Sarıyer,SPEI,9,26,Gumbel,0.309,0.6,250,Gamma3,False
Sarıyer,SPEI,10,25,Gumbel,0.359,0.472,250,Gamma3,False
Sarıyer,SPEI,11,24,Gumbel,0.362,0.464,250,Gamma3,False
Sarıyer,SPEI,12,21,GEV,0.286,0.46,250,Gamma3,False
Sarıyer,SPI,1,49,GEV,0.45,0.172,250,Normal,False
Sarıyer,SPI,2,45,Normal,0.315,0.54,250,Normal,True
Sarıyer,SPI,3,42,LN3,0.206,0.792,250,Weibull3,False
Sarıyer,SPI,4,39,GEV,0.181,0.876,250,Weibull3,False
Sarıyer,SPI,5,34,LN3,0.16,0.944,250,Gumbel,False
Sarıyer,SPI,6,31,LN3,0.141,0.976,250,Gumbel,False
Sarıyer,SPI,7,29,Gumbel,0.153,0.956,250,Gumbel,True
Sarıyer,SPI,8,27,LN3,0.195,0.82,250,Gumbel,False
Sarıyer,SPI,9,26,Gamma3,0.15,0.964,250,Gumbel,False
Sarıyer,SPI,10,25,LN3,0.336,0.328,250,Gamma3,False
Sarıyer,SPI,11,24,Weibull3,0.291,0.788,250,Weibull3,True
Sarıyer,SPI,12,22,Weibull3,0.244,0.884,250,Weibull3,True
Tekirdağ,SPEI,1,48,Weibull3,0.41,0.648,250,Weibull3,True
Tekirdağ,SPEI,2,44,Weibull3,0.87,0.42,250,Gamma3,False
Tekirdağ,SPEI,3,40,Lojistik,0.78,0.028,250,Gamma3,False
Tekirdağ,SPEI,4,34,Weibull3,0.44,0.292,250,Weibull3,True
Tekirdağ,SPEI,5,30,Lojistik,0.46,0.232,250,Weibull3,False
Tekirdağ,SPEI,6,29,GEV,0.376,0.252,250,Weibull3,False
Tekirdağ,SPEI,7,29,LN3,0.327,0.332,250,Weibull3,False
Tekirdağ,SPEI,8,29,LN3,0.3,0.408,250,Gumbel,False
Tekirdağ,SPEI,9,29,LN3,0.346,0.296,250,Gamma3,False
