name,indeks,D,n,secilen,AD,p_boot,B_ok,AICc_secim,uyum
Edirne,SPEI,1,48,GEV,0.331,0.36,1000,Weibull3,False
Edirne,SPEI,2,45,Weibull3,0.188,0.916,1000,Weibull3,True
Edirne,SPEI,3,41,GEV,0.246,0.637,1000,Gumbel,False
Edirne,SPEI,4,39,GEV,0.214,0.762,1000,Gumbel,False
Edirne,SPEI,5,34,GEV,0.168,0.896,1000,Gumbel,False
Edirne,SPEI,6,31,GEV,0.233,0.692,1000,Gumbel,False
Kırklareli,SPEI,1,50,Gumbel,0.607,0.114,1000,Gamma3,False
Kırklareli,SPEI,2,42,Gumbel,0.314,0.593,1000,Gumbel,True
Kırklareli,SPEI,3,37,GEV,0.354,0.294,1000,Gumbel,False
Kırklareli,SPEI,4,36,GEV,0.289,0.445,1000,Gumbel,False
Kırklareli,SPEI,5,35,GEV,0.335,0.332,1000,Gumbel,False
Kırklareli,SPEI,6,34,GEV,0.475,0.109,1000,GEV,True
Lüleburgaz,SPEI,1,46,GEV,0.412,0.184,1000,Gamma3,False
Lüleburgaz,SPEI,2,39,LN3,0.302,0.493,1000,Gamma3,False
Lüleburgaz,SPEI,3,37,LN3,0.316,0.47,1000,Weibull3,False
Lüleburgaz,SPEI,4,34,LN3,0.387,0.271,1000,Gamma3,False
Lüleburgaz,SPEI,5,32,LN3,0.297,0.501,1000,Weibull3,False
Lüleburgaz,SPEI,6,29,LN3,0.219,0.744,1000,Weibull3,False
Sarıyer,SPEI,1,50,Lojistik,0.313,0.522,1000,Gumbel,False
Sarıyer,SPEI,2,43,Gamma3,0.328,0.41,1000,Gumbel,False
Sarıyer,SPEI,3,43,GEV,0.399,0.217,1000,Gumbel,False
Sarıyer,SPEI,4,40,GEV,0.296,0.466,1000,Gumbel,False
Sarıyer,SPEI,5,34,GEV,0.249,0.625,1000,Gumbel,False
Sarıyer,SPEI,6,30,LN3,0.225,0.687,1000,Gumbel,False
Tekirdağ,SPEI,1,48,Weibull3,0.41,0.671,1000,Weibull3,True
Tekirdağ,SPEI,2,44,Weibull3,0.87,0.407,1000,Gamma3,False
Tekirdağ,SPEI,3,40,Lojistik,0.78,0.025,1000,Gamma3,False
Tekirdağ,SPEI,4,34,Weibull3,0.44,0.29,1000,Weibull3,True
Tekirdağ,SPEI,5,30,Lojistik,0.46,0.205,1000,Weibull3,False
Tekirdağ,SPEI,6,29,GEV,0.376,0.267,1000,Weibull3,False
Uzunköprü,SPEI,1,46,Gumbel,0.441,0.323,1000,Gamma3,False
Uzunköprü,SPEI,2,38,Gumbel,0.323,0.585,1000,Gamma3,False
Uzunköprü,SPEI,3,32,Lojistik,0.402,0.304,1000,Gumbel,False
Uzunköprü,SPEI,4,30,Gumbel,0.374,0.423,1000,Gumbel,True
Uzunköprü,SPEI,5,30,Gumbel,0.327,0.551,1000,Gumbel,True
Uzunköprü,SPEI,6,28,Lojistik,0.339,0.43,1000,Gumbel,False
Çorlu,SPEI,1,48,Gumbel,0.431,0.326,1000,Gamma3,False
Çorlu,SPEI,2,44,Gumbel,0.413,0.358,1000,Gamma3,False
Çorlu,SPEI,3,36,Gumbel,0.387,0.398,1000,Gumbel,True
Çorlu,SPEI,4,35,GEV,0.255,0.574,1000,Gumbel,False
Çorlu,SPEI,5,35,GEV,0.208,0.769,1000,Gumbel,False
Çorlu,SPEI,6,35,GEV,0.123,0.979,1000,Gumbel,False
İpsala,SPEI,1,41,GEV,0.307,0.4,1000,Gamma3,False
İpsala,SPEI,2,38,Gumbel,0.247,0.795,1000,Weibull3,False
İpsala,SPEI,3,35,Weibull3,0.192,0.896,1000,Gumbel,False
İpsala,SPEI,4,34,GEV,0.241,0.665,1000,Gumbel,False
İpsala,SPEI,5,34,GEV,0.302,0.444,1000,Weibull3,False
İpsala,SPEI,6,33,Weibull3,0.224,0.819,1000,Weibull3,True
Edirne,SPEI,7,29,GEV,0.208,0.754,1000,Gumbel,False
Edirne,SPEI,8,27,GEV,0.278,0.492,1000,Gumbel,False
Edirne,SPEI,9,25,GEV,0.408,0.209,1000,Gumbel,False
Edirne,SPEI,10,24,GEV,0.394,0.207,1000,Gumbel,False
Edirne,SPEI,11,23,GEV,0.417,0.169,1000,Gumbel,False
Edirne,SPEI,12,21,GEV,0.368,0.222,1000,Gumbel,False
Kırklareli,SPEI,7,33,GEV,0.373,0.246,1000,GEV,True
Kırklareli,SPEI,8,27,GEV,0.229,0.656,1000,Weibull3,False
Kırklareli,SPEI,9,26,GEV,0.234,0.656,1000,GEV,True
Kırklareli,SPEI,10,24,GEV,0.219,0.698,1000,Gamma3,False
Kırklareli,SPEI,11,22,GEV,0.224,0.7,1000,Weibull3,False
Kırklareli,SPEI,12,20,GEV,0.173,0.864,1000,Weibull3,False
Lüleburgaz,SPEI,7,24,LN3,0.223,0.719,1000,Gamma3,False
Lüleburgaz,SPEI,8,19,LN3,0.299,0.524,1000,Weibull3,False
Lüleburgaz,SPEI,9,18,LN3,0.45,0.357,1000,Gamma3,False
Lüleburgaz,SPEI,10,16,GEV,0.519,0.066,1000,Gamma3,False
Sarıyer,SPEI,7,28,Lojistik,0.242,0.745,1000,Gumbel,False
Sarıyer,SPEI,8,27,LN3,0.207,0.776,1000,Gumbel,False
Sarıyer,SPEI,9,26,Gumbel,0.309,0.596,1000,Gamma3,False
Sarıyer,SPEI,10,25,Gumbel,0.359,0.471,1000,Gamma3,False
Sarıyer,SPEI,11,24,Gumbel,0.362,0.455,1000,Gamma3,False
Sarıyer,SPEI,12,21,GEV,0.286,0.465,1000,Gamma3,False
Tekirdağ,SPEI,7,29,LN3,0.327,0.343,1000,Weibull3,False
Tekirdağ,SPEI,8,29,LN3,0.3,0.413,1000,Gumbel,False
Tekirdağ,SPEI,9,29,LN3,0.346,0.307,1000,Gamma3,False
Tekirdağ,SPEI,10,27,Gamma3,0.359,0.619,1000,Weibull3,False
Tekirdağ,SPEI,11,26,Gamma3,0.435,0.49,1000,Gumbel,False
Tekirdağ,SPEI,12,24,Gamma3,0.611,0.4,1000,Gumbel,False
Uzunköprü,SPEI,7,27,Lojistik,0.342,0.428,1000,Gumbel,False
Uzunköprü,SPEI,8,24,Lojistik,0.403,0.31,1000,Gumbel,False
Uzunköprü,SPEI,9,23,Gumbel,0.401,0.389,1000,Gumbel,True
Uzunköprü,SPEI,10,23,Gumbel,0.265,0.717,1000,Gumbel,True
Uzunköprü,SPEI,11,21,GEV,0.248,0.59,1000,Gamma3,False
Uzunköprü,SPEI,12,21,Gumbel,0.356,0.448,1000,Gumbel,True
Çorlu,SPEI,7,32,GEV,0.146,0.942,1000,Gumbel,False
Çorlu,SPEI,8,29,GEV,0.201,0.782,1000,Gumbel,False
Çorlu,SPEI,9,27,GEV,0.215,0.726,1000,Gumbel,False
Çorlu,SPEI,10,25,GEV,0.393,0.229,1000,Gumbel,False
Çorlu,SPEI,11,23,GEV,0.229,0.659,1000,Gumbel,False
Çorlu,SPEI,12,23,GEV,0.193,0.812,1000,Gumbel,False
İpsala,SPEI,7,32,Weibull3,0.278,0.679,1000,Weibull3,True
İpsala,SPEI,8,30,GEV,0.24,0.643,1000,Weibull3,False
İpsala,SPEI,9,26,Weibull3,0.147,0.982,1000,Gumbel,False
İpsala,SPEI,10,25,GEV,0.151,0.953,1000,Gumbel,False
İpsala,SPEI,11,24,LN3,0.171,0.882,1000,Weibull3,False
İpsala,SPEI,12,23,LN3,0.168,0.891,1000,Weibull3,False
Edirne,SPI,1,49,GEV,0.319,0.457,1000,Normal,False
Edirne,SPI,2,45,Weibull3,0.366,0.345,1000,Normal,False
Edirne,SPI,3,43,Weibull3,0.451,0.213,1000,Weibull3,True
Edirne,SPI,4,40,GEV,0.679,0.042,1000,Weibull3,False
Edirne,SPI,5,38,GEV,0.465,0.189,1000,Normal,False
Edirne,SPI,6,37,GEV,0.427,0.229,1000,Normal,False
Kırklareli,SPI,1,49,Gamma3,0.221,0.82,1000,Weibull3,False
Kırklareli,SPI,2,43,Weibull3,0.39,0.399,1000,Weibull3,True
Kırklareli,SPI,3,39,Gumbel,0.44,0.314,1000,Weibull3,False
Kırklareli,SPI,4,35,GEV,0.262,0.546,1000,Gumbel,False
Kırklareli,SPI,5,33,GEV,0.27,0.518,1000,Weibull3,False
Kırklareli,SPI,6,32,GEV,0.288,0.469,1000,Gamma3,False
Lüleburgaz,SPI,1,49,Weibull3,0.364,0.438,1000,Weibull3,True
Lüleburgaz,SPI,2,46,Weibull3,0.398,0.404,1000,Weibull3,True
Lüleburgaz,SPI,3,38,Lojistik,0.362,0.39,1000,Gumbel,False
Lüleburgaz,SPI,4,35,Lojistik,0.3,0.551,1000,Gumbel,False
Lüleburgaz,SPI,5,35,Lojistik,0.364,0.386,1000,Weibull3,False
Lüleburgaz,SPI,6,34,Lojistik,0.309,0.537,1000,Gumbel,False
Sarıyer,SPI,1,49,GEV,0.45,0.189,1000,Normal,False
Sarıyer,SPI,2,45,Normal,0.315,0.566,1000,Normal,True
Sarıyer,SPI,3,42,LN3,0.206,0.775,1000,Weibull3,False
Sarıyer,SPI,4,39,GEV,0.181,0.865,1000,Weibull3,False
Sarıyer,SPI,5,34,LN3,0.16,0.937,1000,Gumbel,False
Sarıyer,SPI,6,31,LN3,0.141,0.96,1000,Gumbel,False
Tekirdağ,SPI,1,48,Weibull3,0.336,0.54,1000,Weibull3,True
Tekirdağ,SPI,2,44,LN3,0.966,0.003,1000,Gamma3,False
Tekirdağ,SPI,3,39,Weibull3,0.393,0.394,1000,Weibull3,True
Tekirdağ,SPI,4,34,GEV,0.37,0.259,1000,Weibull3,False
Tekirdağ,SPI,5,32,GEV,0.3,0.46,1000,Gumbel,False
Tekirdağ,SPI,6,31,Lojistik,0.354,0.394,1000,Gumbel,False
Uzunköprü,SPI,1,45,Weibull3,0.692,0.063,1000,Weibull3,True
Uzunköprü,SPI,2,38,Weibull3,1.051,0.047,1000,Weibull3,True
Uzunköprü,SPI,3,33,GEV,0.651,0.061,1000,Normal,False
Uzunköprü,SPI,4,32,GEV,0.53,0.11,1000,Normal,False
Uzunköprü,SPI,5,31,GEV,0.489,0.152,1000,Normal,False
Uzunköprü,SPI,6,30,GEV,0.404,0.25,1000,Normal,False
Çorlu,SPI,1,45,Weibull3,0.25,0.719,1000,Weibull3,True
Çorlu,SPI,2,43,Weibull3,0.431,0.329,1000,Weibull3,True
Çorlu,SPI,3,38,Weibull3,0.371,0.399,1000,Gumbel,False
Çorlu,SPI,4,36,GEV,0.327,0.356,1000,Weibull3,False
Çorlu,SPI,5,35,Gumbel,0.204,0.882,1000,Gamma3,False
Çorlu,SPI,6,34,GEV,0.181,0.858,1000,Gumbel,False
İpsala,SPI,1,44,Lojistik,0.6,0.08,1000,Gamma3,False
İpsala,SPI,2,37,Normal,0.435,0.306,1000,Weibull3,False
İpsala,SPI,3,32,Lojistik,0.298,0.557,1000,Gumbel,False
İpsala,SPI,4,32,Lojistik,0.326,0.481,1000,Gumbel,False
İpsala,SPI,5,32,GEV,0.221,0.733,1000,Gumbel,False
İpsala,SPI,6,31,Gumbel,0.234,0.836,1000,Gumbel,True
Edirne,SPI,7,36,GEV,0.382,0.283,1000,Normal,False
Edirne,SPI,8,32,GEV,0.211,0.805,1000,Normal,False
Edirne,SPI,9,31,Normal,0.149,0.977,1000,Normal,True
Edirne,SPI,10,30,Lojistik,0.14,0.986,1000,Normal,False
Edirne,SPI,11,27,Lojistik,0.205,0.844,1000,Normal,False
Edirne,SPI,12,25,Lojistik,0.331,0.471,1000,Normal,False
Kırklareli,SPI,7,29,GEV,0.329,0.341,1000,Weibull3,False
Kırklareli,SPI,8,25,LN3,0.458,0.148,1000,Gamma3,False
Kırklareli,SPI,9,24,GEV,0.529,0.065,1000,Gamma3,False
Kırklareli,SPI,10,23,GEV,0.645,0.032,1000,Gamma3,False
Kırklareli,SPI,11,22,GEV,0.652,0.036,1000,Gamma3,False
Kırklareli,SPI,12,20,Gumbel,0.728,0.069,1000,Weibull3,False
Lüleburgaz,SPI,7,30,Lojistik,0.262,0.677,1000,Gumbel,False
Lüleburgaz,SPI,8,26,Lojistik,0.304,0.534,1000,Gumbel,False
Lüleburgaz,SPI,9,26,Lojistik,0.267,0.664,1000,Gumbel,False
Lüleburgaz,SPI,10,25,Lojistik,0.286,0.596,1000,Gumbel,False
Lüleburgaz,SPI,11,24,Lojistik,0.223,0.806,1000,Gumbel,False
Lüleburgaz,SPI,12,24,Lojistik,0.218,0.816,1000,Gumbel,False
Sarıyer,SPI,7,29,Gumbel,0.153,0.964,1000,Gumbel,True
Sarıyer,SPI,8,27,LN3,0.195,0.819,1000,Gumbel,False
Sarıyer,SPI,9,26,Gamma3,0.15,0.965,1000,Gumbel,False
Sarıyer,SPI,10,25,LN3,0.336,0.334,1000,Gamma3,False
Sarıyer,SPI,11,24,Weibull3,0.291,0.808,1000,Weibull3,True
Sarıyer,SPI,12,22,Weibull3,0.244,0.901,1000,Weibull3,True
Tekirdağ,SPI,7,29,LN3,0.423,0.17,1000,Gumbel,False
Tekirdağ,SPI,8,28,LN3,0.468,0.12,1000,Gumbel,False
Tekirdağ,SPI,9,27,Gumbel,0.664,0.095,1000,Gumbel,True
Tekirdağ,SPI,10,25,Gumbel,0.561,0.164,1000,Gumbel,True
Tekirdağ,SPI,11,24,Gumbel,0.582,0.142,1000,Gumbel,True
Tekirdağ,SPI,12,23,GEV,0.377,0.234,1000,Gumbel,False
Uzunköprü,SPI,7,29,GEV,0.335,0.4,1000,Normal,False
Uzunköprü,SPI,8,26,GEV,0.225,0.736,1000,Normal,False
Uzunköprü,SPI,9,25,Normal,0.212,0.86,1000,Normal,True
Uzunköprü,SPI,10,25,GEV,0.181,0.88,1000,Normal,False
Uzunköprü,SPI,11,24,Weibull3,0.128,0.994,1000,Normal,False
