name,indeks,D,n,secilen,AD,p_boot,B_ok,AICc_secim,uyum
Edirne,SPI,7,36,GEV,0.382,0.283,1000,Normal,False
Edirne,SPI,8,32,GEV,0.211,0.805,1000,Normal,False
Edirne,SPI,9,31,Normal,0.149,0.977,1000,Normal,True
Edirne,SPI,10,30,Lojistik,0.14,0.986,1000,Normal,False
Edirne,SPI,11,27,Lojistik,0.205,0.844,1000,Normal,False
Edirne,SPI,12,25,Lojistik,0.331,0.471,1000,Normal,False
Kırklareli,SPI,7,29,GEV,0.329,0.341,1000,Weibull3,False
Kırklareli,SPI,8,25,LN3,0.458,0.148,1000,Gamma3,False
Kırklareli,SPI,9,24,GEV,0.529,0.065,1000,Gamma3,False
Kırklareli,SPI,10,23,GEV,0.645,0.032,1000,Gamma3,False
Kırklareli,SPI,11,22,GEV,0.652,0.036,1000,Gamma3,False
Kırklareli,SPI,12,20,Gumbel,0.728,0.069,1000,Weibull3,False
Lüleburgaz,SPI,7,30,Lojistik,0.262,0.677,1000,Gumbel,False
Lüleburgaz,SPI,8,26,Lojistik,0.304,0.534,1000,Gumbel,False
Lüleburgaz,SPI,9,26,Lojistik,0.267,0.664,1000,Gumbel,False
Lüleburgaz,SPI,10,25,Lojistik,0.286,0.596,1000,Gumbel,False
Lüleburgaz,SPI,11,24,Lojistik,0.223,0.806,1000,Gumbel,False
Lüleburgaz,SPI,12,24,Lojistik,0.218,0.816,1000,Gumbel,False
Sarıyer,SPI,7,29,Gumbel,0.153,0.964,1000,Gumbel,True
Sarıyer,SPI,8,27,LN3,0.195,0.819,1000,Gumbel,False
Sarıyer,SPI,9,26,Gamma3,0.15,0.965,1000,Gumbel,False
Sarıyer,SPI,10,25,LN3,0.336,0.334,1000,Gamma3,False
Sarıyer,SPI,11,24,Weibull3,0.291,0.808,1000,Weibull3,True
Sarıyer,SPI,12,22,Weibull3,0.244,0.901,1000,Weibull3,True
Tekirdağ,SPI,7,29,LN3,0.423,0.17,1000,Gumbel,False
Tekirdağ,SPI,8,28,LN3,0.468,0.12,1000,Gumbel,False
Tekirdağ,SPI,9,27,Gumbel,0.664,0.095,1000,Gumbel,True
Tekirdağ,SPI,10,25,Gumbel,0.561,0.164,1000,Gumbel,True
Tekirdağ,SPI,11,24,Gumbel,0.582,0.142,1000,Gumbel,True
Tekirdağ,SPI,12,23,GEV,0.377,0.234,1000,Gumbel,False
Uzunköprü,SPI,7,29,GEV,0.335,0.4,1000,Normal,False
Uzunköprü,SPI,8,26,GEV,0.225,0.736,1000,Normal,False
Uzunköprü,SPI,9,25,Normal,0.212,0.86,1000,Normal,True
Uzunköprü,SPI,10,25,GEV,0.181,0.88,1000,Normal,False
Uzunköprü,SPI,11,24,Weibull3,0.128,0.994,1000,Normal,False
Uzunköprü,SPI,12,23,Gamma3,0.129,0.99,1000,Normal,False
Çorlu,SPI,7,31,GEV,0.155,0.951,1000,Gumbel,False
Çorlu,SPI,8,31,GEV,0.203,0.804,1000,Gumbel,False
Çorlu,SPI,9,29,Lojistik,0.187,0.899,1000,Gumbel,False
Çorlu,SPI,10,27,Lojistik,0.187,0.897,1000,Gumbel,False
Çorlu,SPI,11,26,LN3,0.21,0.767,1000,Gumbel,False
Çorlu,SPI,12,26,GEV,0.249,0.615,1000,Gumbel,False
İpsala,SPI,7,30,GEV,0.249,0.609,1000,Gumbel,False
İpsala,SPI,8,29,LN3,0.22,0.698,1000,Gumbel,False
İpsala,SPI,9,29,LN3,0.215,0.726,1000,Gumbel,False
İpsala,SPI,10,27,LN3,0.286,0.48,1000,Gumbel,False
İpsala,SPI,11,24,GEV,0.354,0.271,1000,Gumbel,False
İpsala,SPI,12,23,GEV,0.416,0.171,1000,Gumbel,False
