name,indeks,k,D,n,z_mk,p_mk,z_hr,p_hr,var_infl,sig_hr_bh,z_tfpw,p_tfpw
Edirne,SPEI,1,1,59,3.224,0.0012639745153979,2.233,0.0255737798935542,2.085,False,3.2240361294354143,0.0012639745153979476
Edirne,SPEI,1,2,59,2.885,0.0039202313665192,2.885,0.0039202313665192,1.0,False,2.8845101375512034,0.0039202313665192
Edirne,SPEI,1,3,59,1.813,0.0698971000242769,1.813,0.0698971000242769,1.0,False,1.8125769213082596,0.06989710002427696
Edirne,SPEI,1,4,59,0.906,0.3648594008737942,0.906,0.3648594008737942,1.0,False,0.9061444498247436,0.3648594008737942
Edirne,SPEI,1,5,59,1.442,0.1492857424887992,1.847,0.0647355377916572,0.61,False,1.4420589560167174,0.14928574248879922
Edirne,SPEI,3,1,59,1.969,0.0490091651761654,1.969,0.0490091651761654,1.0,False,1.9685119268578857,0.04900916517616549
Edirne,SPEI,3,2,59,2.459,0.0139207083388328,2.047,0.0406638473122777,1.443,False,2.4593029750306594,0.013920708338832855
Edirne,SPEI,3,3,59,1.913,0.0557099413505624,1.421,0.155458455321727,1.814,False,1.9132977833759173,0.0557099413505624
Edirne,SPEI,3,4,59,2.186,0.0288338986616278,2.186,0.0288338986616278,1.0,False,2.1857500270193446,0.028833898661627888
Edirne,SPEI,3,5,59,2.657,0.0078916651667937,2.657,0.0078916651667937,1.0,False,2.6566699963527585,0.007891665166793738
Edirne,SPEI,3,6,59,2.337,0.0194312285500468,2.337,0.0194312285500468,1.0,False,2.3371530281874784,0.019431228550046864
Edirne,SPEI,3,7,59,1.625,0.1042471486436538,1.625,0.1042471486436538,1.0,False,1.624603135363226,0.10424714864365381
Edirne,SPEI,3,8,59,1.985,0.0471294137219033,1.985,0.0471294137219033,1.0,False,1.985135359304614,0.04712941372190338
Edirne,SPEI,3,9,59,2.182,0.0290891275725468,2.182,0.0290891275725468,1.0,False,1.204314827766619,0.22846791774742203
Edirne,SPEI,6,1,59,2.152,0.0314338153779754,1.7,0.0891911404139578,1.602,False,2.151537295302741,0.031433815377975405
Edirne,SPEI,6,2,59,2.004,0.0450824405451166,1.471,0.1411602252664672,1.855,False,2.0038844416300674,0.045082440545116675
Edirne,SPEI,6,3,59,2.08,0.0374915905308836,1.522,0.1280153134293362,1.868,False,2.080370198567354,0.03749159053088369
Edirne,SPEI,6,4,59,2.211,0.0270463634031461,2.211,0.0270463634031461,1.0,False,2.210848017572176,0.027046363403146145
Edirne,SPEI,6,5,59,2.438,0.0147591720433626,2.092,0.0364427136513527,1.358,False,2.4382350897976703,0.014759172043362634
Edirne,SPEI,6,6,59,2.157,0.0310008294766992,2.157,0.0310008294766992,1.0,False,2.157062057236541,0.031000829476699243
Edirne,SPEI,6,7,59,1.976,0.0481002956405547,1.976,0.0481002956405547,1.0,False,1.9764812645782996,0.048100295640554735
Edirne,SPEI,6,8,59,1.616,0.1061051651769482,1.456,0.1453995517064377,1.232,False,1.6159498094639906,0.10610516517694824
Edirne,SPEI,6,9,59,1.834,0.0666709755651866,1.636,0.1019083594953034,1.257,False,1.8338856134000063,0.06667097556518664
Edirne,SPEI,6,10,59,2.341,0.019214984125889,2.121,0.0339372622300091,1.219,False,2.3413336999245167,0.019214984125889067
Edirne,SPEI,6,11,59,2.168,0.0301475913512043,1.617,0.1058881152987383,1.798,False,1.057451014306498,0.29030579978063464
Edirne,SPEI,6,12,59,2.188,0.0286534882149749,1.629,0.1032123552010575,1.803,False,1.0749295434685888,0.28240627379912286
Edirne,SPEI,9,1,59,2.276,0.0228362320969548,1.758,0.0787602639845539,1.677,False,2.276163391783695,0.022836232096954845
Edirne,SPEI,9,2,59,2.185,0.0288615007634411,2.185,0.0288615007634411,1.0,False,2.1853731107978827,0.028861500763441184
Edirne,SPEI,9,3,59,2.474,0.0133608286577275,2.096,0.0360855127907291,1.393,False,2.4740037708215112,0.013360828657727586
Edirne,SPEI,9,4,59,2.467,0.0136152122117056,2.167,0.0302176842901424,1.296,False,2.467258252193203,0.013615212211705696
Edirne,SPEI,9,5,59,2.602,0.009263478496758,2.25,0.0244518019835016,1.338,False,2.602174201555779,0.009263478496758015
Edirne,SPEI,9,6,59,3.049,0.0022940330117247,2.649,0.0080633542441068,1.325,False,3.0492633346195204,0.0022940330117247054
Edirne,SPEI,9,7,59,2.458,0.0139534626758859,2.458,0.0139534626758859,1.0,False,2.458459209458197,0.01395346267588593
Edirne,SPEI,9,8,59,2.601,0.0092848208656104,2.601,0.0092848208656104,1.0,False,2.6013849272691285,0.009284820865610444
Edirne,SPEI,9,9,59,2.281,0.0225371652548433,2.281,0.0225371652548433,1.0,False,1.4492632980685076,0.14726406650101453
Edirne,SPEI,9,10,59,2.464,0.0137353576753407,1.979,0.0478018236082795,1.55,False,1.7401218560540803,0.08183762326044497
Edirne,SPEI,9,11,59,2.885,0.0039178288603167,2.311,0.0208125886091521,1.558,False,1.4831619411507024,0.13803139025671674
Edirne,SPEI,9,12,59,3.129,0.0017565708356979,2.504,0.0122688527592735,1.561,False,1.438487155387906,0.15029587934961652
Edirne,SPEI,12,1,59,2.724,0.006459166645101,2.434,0.0149145364123297,1.252,False,2.723513035979343,0.006459166645101044
