name,indeks,D,n_nonzero,GEV_b1,GEV_LRT_p,P0_sabit,P0_egim,P0_LRT_p,S50_1980,S100_1980,S50_2024,S100_2024,T_esdeger_1980,GEV_sig_bh,P0_sig_bh
Edirne,SPEI,3,41,1.312,0.0046,0.305,-0.749,0.128,5.84,6.38,7.83,8.37,3869.0,True,False
Edirne,SPEI,6,31,1.908,0.0269,0.475,-0.778,0.0869,11.35,13.02,14.24,15.92,324.0,False,False
Edirne,SPEI,9,25,1.005,0.4182,0.576,-0.765,0.0954,17.32,20.17,18.84,21.69,142.0,False,False
Edirne,SPEI,12,21,1.904,0.2469,0.644,-0.969,0.0434,19.61,24.07,28.22,33.38,343.0,False,False
Edirne,SPI,3,43,0.364,0.2801,0.271,0.163,0.7438,5.24,5.51,5.79,6.06,976.0,False,False
Edirne,SPI,6,37,0.776,0.2564,0.373,0.189,0.6809,8.82,9.07,10.0,10.25,inf,False,False
Edirne,SPI,9,31,0.871,0.3982,0.475,0.014,0.9756,12.77,13.3,14.09,14.62,4099.0,False,False
Edirne,SPI,12,25,1.163,0.3833,0.576,-0.028,0.9507,16.37,17.25,18.13,19.02,775.0,False,False
Kırklareli,SPEI,3,37,0.915,0.0062,0.373,-0.24,0.6016,7.52,9.03,8.9,10.41,179.0,True,False
Kırklareli,SPEI,6,34,2.011,0.0003,0.424,-0.139,0.7569,15.35,20.05,18.4,23.1,146.0,True,False
Kırklareli,SPEI,9,26,1.261,0.0416,0.559,-0.346,0.4406,25.81,36.56,27.72,38.47,111.0,False,False
Kırklareli,SPEI,12,20,-2.736,0.0235,0.661,-0.715,0.1347,37.85,58.77,33.7,54.61,89.0,False,False
Kırklareli,SPI,3,39,0.21,0.4942,0.339,0.381,0.4185,7.6,9.0,7.92,9.32,116.0,False,False
Kırklareli,SPI,6,32,1.121,0.0421,0.458,0.505,0.2611,16.98,22.53,18.68,24.23,120.0,False,False
Kırklareli,SPI,9,24,0.237,0.8133,0.593,0.0,1.0,23.16,28.85,23.51,29.21,104.0,False,False
Kırklareli,SPI,12,20,0.343,0.864,0.661,0.182,0.6982,27.44,32.13,27.96,32.65,108.0,False,False
Lüleburgaz,SPEI,3,37,0.102,0.4128,0.373,-0.644,0.1667,24.28,44.01,24.43,44.17,100.0,False,False
Lüleburgaz,SPEI,6,29,0.716,0.1749,0.508,-1.029,0.0257,20.99,30.68,31.92,45.6,211.0,False,False
