name,indeks,D,xi_sabit,b1,p_fixed,S100_2024_fx,S100_1980_fx,GEV_LRT_p,S100_2024,S100_1980,GEV_b1,sig_serbest,sig_sabit,dS100_2024_%
Edirne,SPEI,3,-0.05,1.05,0.0079,9.0,7.4,0.0046,8.37,6.38,1.312,True,True,7.5
Edirne,SPEI,6,0.044,1.9,0.027,16.1,13.2,0.0269,15.92,13.02,1.908,True,True,1.1
Edirne,SPEI,9,0.125,0.96,0.4277,22.3,20.8,0.4182,21.69,20.17,1.005,False,False,2.8
Edirne,SPEI,12,0.217,1.84,0.2512,30.7,28.0,0.2469,33.38,24.07,1.904,False,False,-8.0
Edirne,SPI,3,-0.302,0.36,0.2815,6.1,5.5,0.2801,6.06,5.51,0.364,False,False,0.7
Edirne,SPI,6,-0.431,0.63,0.3087,10.3,9.3,0.2564,10.25,9.07,0.776,False,False,0.5
Edirne,SPI,9,-0.345,0.79,0.4185,14.7,13.5,0.3982,14.62,13.3,0.871,False,False,0.5
Edirne,SPI,12,-0.258,1.09,0.3954,19.1,17.5,0.3833,19.02,17.25,1.163,False,False,0.4
Kırklareli,SPEI,3,0.111,0.92,0.0066,9.9,8.5,0.0062,10.41,9.03,0.915,True,True,-4.9
Kırklareli,SPEI,6,0.161,1.9,0.0009,17.8,15.0,0.0003,23.1,20.05,2.011,True,True,-22.9
Kırklareli,SPEI,9,0.336,1.29,0.0643,28.7,26.7,0.0416,38.47,36.56,1.261,True,False,-25.4
Kırklareli,SPEI,12,0.422,-2.75,0.0544,31.1,35.3,0.0235,54.61,58.77,-2.736,True,False,-43.1
Kırklareli,SPI,3,0.107,0.2,0.4986,9.5,9.2,0.4942,9.32,9.0,0.21,False,False,1.9
Kırklareli,SPI,6,0.204,1.1,0.0578,19.2,17.6,0.0421,24.23,22.53,1.121,True,False,-20.8
Kırklareli,SPI,9,0.223,0.23,0.8176,28.8,28.4,0.8133,29.21,28.85,0.237,False,False,-1.4
Kırklareli,SPI,12,0.038,0.34,0.864,32.7,32.2,0.864,32.65,32.13,0.343,False,False,0.2
Lüleburgaz,SPEI,3,0.5,0.22,0.3004,18.5,18.2,0.4128,44.17,44.01,0.102,False,False,-58.1
Lüleburgaz,SPEI,6,0.5,0.71,0.1732,37.4,36.3,0.1749,45.6,30.68,0.716,False,False,-18.0
Lüleburgaz,SPEI,9,0.33,7.14,0.003,40.0,29.2,0.002,32.89,20.42,8.22,True,True,21.6
Lüleburgaz,SPI,3,-0.011,0.81,0.0586,9.7,8.4,0.0426,9.03,7.5,1.01,True,False,7.4
Lüleburgaz,SPI,6,-0.001,1.65,0.0272,17.5,15.0,0.0168,16.37,13.15,2.125,True,True,6.9
Lüleburgaz,SPI,9,-0.014,4.13,0.0001,22.2,16.0,0.0001,22.77,16.66,4.03,True,True,-2.5
Lüleburgaz,SPI,12,-0.056,5.3,0.0003,27.7,19.7,0.0002,28.46,20.66,5.136,True,True,-2.7
Sarıyer,SPEI,3,-0.012,0.71,0.0303,8.9,7.8,0.0266,8.48,7.31,0.775,True,True,5.0
Sarıyer,SPEI,6,-0.049,1.7,0.0098,14.9,12.3,0.0098,14.91,12.33,1.701,True,True,-0.1
Sarıyer,SPEI,9,0.144,1.35,0.063,21.7,19.6,0.0558,20.34,18.08,1.486,False,False,6.7
Sarıyer,SPEI,12,-0.015,2.73,0.0443,26.7,22.6,0.0396,27.03,20.17,2.95,True,True,-1.2
Sarıyer,SPI,3,-0.178,0.49,0.2412,7.9,7.2,0.2234,7.75,6.92,0.542,False,False,1.9
Sarıyer,SPI,6,-0.013,-0.08,0.9151,13.9,14.0,0.9124,13.97,14.09,-0.08,False,False,-0.5
Sarıyer,SPI,9,0.054,0.6,0.4725,20.0,19.1,0.4707,19.81,18.88,0.61,False,False,1.0
Sarıyer,SPI,12,0.143,-0.57,0.5678,24.5,25.4,0.1228,53.45,55.8,-1.549,False,False,-54.2
Tekirdağ,SPEI,3,0.058,1.69,0.0001,10.7,8.1,0.0001,9.81,6.43,1.905,True,True,9.1
Tekirdağ,SPEI,6,-0.114,3.05,0.0034,17.1,12.4,0.0018,16.71,10.28,3.487,True,True,2.3
Tekirdağ,SPEI,9,0.02,3.6,0.0046,25.2,19.8,0.001,22.78,13.67,5.027,True,True,10.6
Tekirdağ,SPEI,12,0.063,5.19,0.0084,32.8,25.0,0.002,28.52,14.94,7.695,True,True,15.0
Tekirdağ,SPI,3,0.058,1.22,0.0012,9.9,8.1,0.0011,9.28,7.24,1.342,True,True,6.7
Tekirdağ,SPI,6,-0.156,2.11,0.042,15.5,12.3,0.0318,15.21,11.0,2.357,True,True,1.9
Tekirdağ,SPI,9,-0.049,1.3,0.2721,20.7,18.7,0.1986,20.52,16.4,1.904,False,False,0.9
Tekirdağ,SPI,12,0.107,-0.26,0.8608,25.4,25.8,0.5531,38.72,31.41,-2.045,False,False,-34.4
Uzunköprü,SPEI,3,0.04,1.13,0.0827,11.4,9.7,0.0748,11.6,8.49,1.21,False,False,-1.7
Uzunköprü,SPEI,6,0.07,1.99,0.0454,19.8,16.8,0.0453,21.55,15.37,1.995,True,True,-8.1
Uzunköprü,SPEI,9,0.088,2.63,0.1005,26.4,22.4,0.0959,27.95,19.35,2.722,False,False,-5.5
Uzunköprü,SPEI,12,0.198,4.06,0.0334,35.1,28.9,0.0271,35.33,22.32,4.358,True,True,-0.7
Uzunköprü,SPI,3,-0.392,1.46,0.0044,7.7,5.5,0.0017,7.22,5.09,1.405,True,True,6.6
Uzunköprü,SPI,6,-0.344,2.61,0.007,14.4,10.4,0.0053,13.93,9.91,2.653,True,True,3.4
Uzunköprü,SPI,9,-0.247,2.36,0.1087,19.7,16.1,0.081,19.24,15.16,2.69,False,False,2.4
Uzunköprü,SPI,12,-0.198,3.27,0.0793,25.4,20.5,0.0732,25.03,19.85,3.413,False,False,1.5
Çorlu,SPEI,3,0.068,1.61,0.0002,10.2,7.8,0.0002,10.55,8.13,1.595,True,True,-3.3
Çorlu,SPEI,6,0.089,2.47,0.0003,18.5,14.7,0.0002,22.06,18.53,2.323,True,True,-16.1
Çorlu,SPEI,9,0.115,2.75,0.0187,27.0,22.8,0.0187,27.04,22.88,2.746,True,True,-0.1
Çorlu,SPEI,12,0.2,2.18,0.248,36.1,32.8,0.1636,32.15,27.48,3.083,False,False,12.3
Çorlu,SPI,3,-0.061,1.07,0.0147,8.9,7.3,0.0147,8.97,7.35,1.069,True,True,-0.8
Çorlu,SPI,6,-0.026,1.02,0.2189,16.3,14.7,0.1996,15.62,13.86,1.155,False,False,4.4
Çorlu,SPI,9,-0.06,2.19,0.1604,23.7,20.4,0.1184,22.65,18.31,2.858,False,False,4.6
Çorlu,SPI,12,-0.057,1.7,0.4594,29.5,26.9,0.3453,28.58,24.02,3.005,False,False,3.2
İpsala,SPEI,3,-0.064,2.34,0.0,9.2,5.6,0.0,8.92,4.8,2.493,True,True,3.1
İpsala,SPEI,6,-0.046,3.78,0.0,16.5,10.7,0.0,15.28,8.09,4.301,True,True,8.0
İpsala,SPEI,9,-0.02,4.84,0.0008,23.1,15.7,0.0008,23.82,12.5,5.153,True,True,-3.0
İpsala,SPEI,12,0.166,5.49,0.0074,33.6,25.3,0.0053,31.56,13.72,7.586,True,True,6.5
İpsala,SPI,3,-0.085,1.55,0.0,8.1,5.8,0.0,8.54,5.65,1.525,True,True,-5.2
İpsala,SPI,6,-0.003,2.6,0.0011,16.3,12.3,0.0011,17.25,11.49,2.599,True,True,-5.5
İpsala,SPI,9,0.138,2.89,0.0048,25.6,21.2,0.0046,30.07,19.88,2.804,True,True,-14.9
İpsala,SPI,12,0.148,3.16,0.0409,32.7,27.9,0.0399,40.42,23.66,2.959,True,True,-19.1
