name,year,month,SPI12,SPEI12,SPEI12_ou,dekad
Edirne,1965,12,0.127,0.456,0.47958860016925187,1960
Edirne,1966,1,0.715,1.045,1.0623523652541655,1960
Edirne,1966,2,0.027,0.216,0.22254830720189073,1960
Edirne,1966,3,0.039,0.273,0.2620878652362059,1960
Edirne,1966,4,0.122,0.221,0.2141942225493013,1960
Edirne,1966,5,-0.026,0.03,-0.002352353763338797,1960
Edirne,1966,6,0.178,0.447,0.3365899284043871,1960
Edirne,1966,7,0.339,0.571,0.47093903575332685,1960
Edirne,1966,8,0.321,0.378,0.33313849994178113,1960
Edirne,1966,9,0.549,0.684,0.6042515105641462,1960
Edirne,1966,10,1.16,1.091,1.085117156057564,1960
Edirne,1966,11,1.843,1.731,1.7238874323200242,1960
Edirne,1966,12,1.928,1.73,1.707643116565062,1960
Edirne,1967,1,1.898,1.731,1.7203646423759145,1960
Edirne,1967,2,1.764,1.719,1.702470528709056,1960
Edirne,1967,3,1.579,1.541,1.5347214652574757,1960
Edirne,1967,4,1.531,1.551,1.5521633189220818,1960
Edirne,1967,5,1.542,1.505,1.540811105142462,1960
Edirne,1967,6,1.804,1.678,1.7125675355299588,1960
Edirne,1967,7,1.869,1.751,1.7839273742064767,1960
Edirne,1967,8,1.729,1.726,1.744966743393477,1960
Edirne,1967,9,1.805,1.739,1.7745694184676488,1960
Edirne,1967,10,1.513,1.605,1.6225314720405783,1960
Edirne,1967,11,0.217,0.428,0.4412622926663526,1960
Edirne,1967,12,-0.385,-0.075,-0.07514382578785792,1960
Edirne,1968,1,-0.173,0.149,0.14643033239673883,1960
Edirne,1968,2,0.099,0.333,0.33239107156056336,1960
Edirne,1968,3,-0.029,0.269,0.2524398646251454,1960
Edirne,1968,4,-0.334,-0.159,-0.17618600414631566,1960
Edirne,1968,5,-0.722,-0.781,-0.7512055845521578,1960
Edirne,1968,6,-1.036,-1.217,-1.1556327904474282,1960
Edirne,1968,7,-1.382,-1.536,-1.499511739642772,1960
Edirne,1968,8,-0.833,-0.922,-0.9117743944333433,1960
Edirne,1968,9,-0.756,-0.809,-0.8156832833761423,1960
Edirne,1968,10,-1.013,-0.958,-1.0207789814196961,1960
Edirne,1968,11,-0.778,-0.799,-0.8426223920586154,1960
Edirne,1968,12,-0.491,-0.466,-0.5158044282336477,1960
