name,indeks,D,dagilim,n_bs,T10,T50,T100,T10_alt,T10_ust,T50_alt,T50_ust,T100_alt,T100_ust
Edirne,SPEI,3,GEV,200,5.21,7.42,8.29,4.45,5.92,5.42,8.83,5.67,10.2
Edirne,SPEI,6,GEV,200,8.84,13.2,15.1,7.19,10.05,9.93,16.24,10.94,19.97
Edirne,SPEI,9,GEV,200,11.79,18.3,21.41,9.72,13.9,14.68,29.3,16.35,48.42
Edirne,SPEI,12,GEV,199,13.97,24.12,29.47,10.45,17.35,16.72,42.79,19.58,78.47
Edirne,SPI,3,Weibull3,200,4.57,5.93,6.41,4.13,4.95,5.34,6.64,5.65,7.39
Edirne,SPI,6,GEV,200,8.07,9.41,9.74,7.28,8.8,8.65,9.9,8.83,10.52
Edirne,SPI,9,Normal,200,11.08,13.65,14.52,9.99,11.89,12.26,14.8,12.99,15.83
Edirne,SPI,12,Lojistik,200,13.53,17.02,18.39,11.67,14.81,14.48,18.77,15.58,20.33
Kırklareli,SPEI,3,GEV,200,5.16,8.3,9.79,4.23,6.07,5.91,11.14,6.49,14.02
Kırklareli,SPEI,6,GEV,200,9.45,15.93,19.19,7.43,11.76,10.95,22.41,12.21,29.41
Kırklareli,SPEI,9,GEV,200,12.6,23.78,30.6,9.92,15.99,15.8,39.56,18.94,66.36
Kırklareli,SPEI,12,GEV,198,15.27,29.94,39.73,12.12,20.05,18.95,53.27,20.82,100.94
Kırklareli,SPI,3,Gumbel,200,4.66,7.11,8.14,3.86,5.39,5.86,8.17,6.69,9.38
Kırklareli,SPI,6,GEV,200,8.88,15.78,19.42,6.81,10.81,11.53,23.8,12.98,34.22
Kırklareli,SPI,9,GEV,198,12.79,23.1,28.62,9.52,15.66,16.07,52.44,18.62,105.58
Kırklareli,SPI,12,Gumbel,200,16.64,27.09,31.32,12.65,20.74,21.01,33.41,24.28,38.78
Lüleburgaz,SPEI,3,LN3,124,6.2,18.25,26.8,4.09,7.74,9.76,26.19,12.65,41.88
Lüleburgaz,SPEI,6,LN3,118,10.4,24.36,32.53,7.66,14.0,15.21,41.8,18.58,66.44
Lüleburgaz,SPEI,9,LN3,72,13.17,27.84,35.28,,,,,,
Lüleburgaz,SPI,3,Lojistik,200,5.07,7.01,7.8,4.29,5.96,5.93,8.34,6.6,9.3
Lüleburgaz,SPI,6,Lojistik,200,9.08,12.55,13.94,7.86,10.46,10.64,14.39,11.75,16.06
Lüleburgaz,SPI,9,Lojistik,200,12.29,16.69,18.42,10.55,14.4,14.33,20.01,15.75,22.36
Lüleburgaz,SPI,12,Lojistik,200,15.5,21.1,23.29,13.43,18.27,17.76,25.34,19.42,28.36
Sarıyer,SPEI,3,GEV,200,5.21,7.43,8.35,4.4,5.77,5.52,8.63,5.85,9.99
Sarıyer,SPEI,6,LN3,162,9.24,12.59,13.9,7.79,10.25,9.82,14.94,10.57,17.2
Sarıyer,SPEI,9,Gumbel,200,12.61,16.98,18.78,10.95,14.07,14.22,19.41,15.55,21.67
Sarıyer,SPEI,12,GEV,195,16.2,22.76,25.37,13.36,18.68,18.35,29.45,19.36,38.25
Sarıyer,SPI,3,LN3,175,5.29,7.08,7.76,4.6,5.92,5.93,8.18,6.4,9.26
Sarıyer,SPI,6,LN3,161,9.12,12.63,14.06,7.74,10.27,10.25,15.8,10.96,18.92
Sarıyer,SPI,9,Gamma3,200,12.58,17.36,19.26,9.33,13.97,13.15,20.5,14.32,23.73
Sarıyer,SPI,12,Weibull3,192,15.41,22.16,24.82,12.82,18.7,18.14,55.68,19.5,84.66
Tekirdağ,SPEI,3,Lojistik,200,5.23,7.44,8.34,4.33,6.04,6.22,8.47,6.99,9.5
Tekirdağ,SPEI,6,GEV,200,10.14,14.18,15.64,8.46,11.79,11.95,16.57,12.79,21.43
