name,indeks,D,dagilim,n_bs,T10,T50,T100,T10_alt,T10_ust,T50_alt,T50_ust,T100_alt,T100_ust
Edirne,SPI,3,Weibull3,1000,4.57,5.93,6.41,4.12,4.93,5.28,6.57,5.59,7.28
Edirne,SPI,6,GEV,1000,8.07,9.41,9.74,7.2,8.73,8.65,9.94,8.82,10.67
Edirne,SPI,9,Normal,1000,11.08,13.65,14.52,9.92,12.04,12.24,14.78,13.01,15.73
Edirne,SPI,12,Lojistik,1000,13.53,17.02,18.39,12.0,14.91,14.87,18.93,15.9,20.57
Kırklareli,SPI,3,Gumbel,1000,4.66,7.11,8.14,3.83,5.53,5.85,8.55,6.68,9.83
Kırklareli,SPI,6,GEV,999,8.88,15.78,19.42,7.02,10.79,10.99,21.9,12.73,30.75
Kırklareli,SPI,9,GEV,991,12.79,23.1,28.62,9.64,15.71,16.49,39.01,18.93,72.25
Kırklareli,SPI,12,Gumbel,998,16.64,27.09,31.32,12.39,20.38,20.76,32.56,23.96,37.84
Lüleburgaz,SPI,3,Lojistik,1000,5.07,7.01,7.8,4.28,5.83,5.92,8.15,6.54,9.09
Lüleburgaz,SPI,6,Lojistik,1000,9.08,12.55,13.94,7.63,10.54,10.6,14.61,11.73,16.29
Lüleburgaz,SPI,9,Lojistik,1000,12.29,16.69,18.42,10.52,14.41,14.03,20.18,15.29,22.47
Lüleburgaz,SPI,12,Lojistik,1000,15.5,21.1,23.29,13.14,17.92,17.38,24.8,18.96,27.65
Sarıyer,SPI,3,LN3,900,5.29,7.08,7.76,4.58,5.88,6.0,8.01,6.48,8.9
Sarıyer,SPI,6,LN3,796,9.12,12.63,14.06,7.85,10.29,10.38,15.16,11.19,18.1
Sarıyer,SPI,9,Gamma3,1000,12.58,17.36,19.26,9.58,14.09,13.65,20.62,14.73,23.81
Sarıyer,SPI,12,Weibull3,978,15.41,22.16,24.82,12.66,18.57,18.53,50.38,20.21,73.19
Tekirdağ,SPI,3,Weibull3,996,5.17,7.82,8.83,4.25,6.23,6.52,12.72,7.29,16.03
Tekirdağ,SPI,6,Lojistik,1000,9.28,12.58,13.9,7.93,10.59,10.62,14.51,11.66,16.06
Tekirdağ,SPI,9,Gumbel,1000,12.95,18.24,20.41,11.04,14.82,15.05,21.12,16.63,23.69
Tekirdağ,SPI,12,GEV,991,15.48,22.55,25.84,12.79,17.9,17.7,28.92,19.44,38.13
Uzunköprü,SPI,3,GEV,1000,5.23,6.47,6.78,4.47,5.76,5.54,7.29,5.65,8.22
Uzunköprü,SPI,6,GEV,1000,9.64,12.1,12.77,8.27,10.67,10.33,13.18,10.56,14.22
Uzunköprü,SPI,9,Normal,1000,13.5,17.01,18.16,11.76,14.9,14.9,18.65,15.89,19.93
Uzunköprü,SPI,12,Gamma3,1000,16.71,22.18,24.14,13.06,18.56,18.46,24.8,20.16,28.01
Çorlu,SPI,3,Weibull3,991,5.19,7.44,8.27,4.32,6.18,5.9,10.06,6.39,12.21
Çorlu,SPI,6,GEV,999,9.47,13.69,15.39,7.82,10.93,10.56,16.57,11.33,19.83
Çorlu,SPI,9,Lojistik,1000,13.34,17.98,19.83,11.28,15.44,15.0,20.96,16.38,23.23
Çorlu,SPI,12,GEV,1000,17.25,24.84,27.76,14.21,19.76,17.96,29.95,18.5,34.7
İpsala,SPI,3,Lojistik,1000,4.97,6.56,7.19,4.32,5.62,5.59,7.58,6.07,8.39
İpsala,SPI,6,Gumbel,1000,9.41,13.83,15.67,7.84,10.86,11.44,16.01,12.91,18.13
İpsala,SPI,9,LN3,710,13.42,21.5,25.17,10.87,15.83,16.07,26.23,18.15,31.88
İpsala,SPI,12,GEV,984,16.49,27.17,32.39,12.48,20.19,20.89,53.6,24.21,101.27
Edirne,SPEI,3,GEV,1000,5.21,7.42,8.29,4.42,5.96,5.61,8.97,5.9,10.52
Edirne,SPEI,6,GEV,1000,8.84,13.2,15.1,7.24,10.14,10.04,16.4,10.94,20.03
Edirne,SPEI,9,GEV,997,11.79,18.3,21.41,9.3,13.86,14.01,30.7,15.51,52.72
Edirne,SPEI,12,GEV,992,13.97,24.12,29.47,10.5,17.77,17.38,44.63,20.3,78.18
Kırklareli,SPEI,3,GEV,1000,5.16,8.3,9.79,4.18,6.24,5.82,11.44,6.45,14.64
Kırklareli,SPEI,6,GEV,1000,9.45,15.93,19.19,7.5,11.5,11.15,22.99,12.6,30.9
Kırklareli,SPEI,9,GEV,998,12.6,23.78,30.6,9.69,15.62,15.66,39.48,18.8,61.65
Kırklareli,SPEI,12,GEV,987,15.27,29.94,39.73,11.66,19.04,18.92,51.02,22.58,85.19
Lüleburgaz,SPEI,3,LN3,650,6.2,18.25,26.8,4.51,8.13,10.73,29.51,14.38,48.22
Lüleburgaz,SPEI,6,LN3,583,10.4,24.36,32.53,7.49,13.88,16.38,38.08,20.09,54.86
Lüleburgaz,SPEI,9,LN3,383,13.17,27.84,35.28,10.06,18.61,18.75,37.92,22.68,49.5
Sarıyer,SPEI,3,GEV,1000,5.21,7.43,8.35,4.43,5.89,5.77,9.05,6.16,10.68
Sarıyer,SPEI,6,LN3,804,9.24,12.59,13.9,7.94,10.51,10.01,15.34,10.64,17.45
Sarıyer,SPEI,9,Gumbel,1000,12.61,16.98,18.78,10.79,14.39,14.05,19.85,15.38,22.07
Sarıyer,SPEI,12,GEV,995,16.2,22.76,25.37,13.39,18.61,18.21,29.56,19.0,41.1
Tekirdağ,SPEI,3,Lojistik,1000,5.23,7.44,8.34,4.32,6.05,6.22,8.54,6.98,9.59
Tekirdağ,SPEI,6,GEV,999,10.14,14.18,15.64,8.32,11.71,12.08,16.71,13.04,20.89
Tekirdağ,SPEI,9,LN3,658,13.89,21.17,24.34,11.71,16.14,17.44,24.61,19.55,29.58
Tekirdağ,SPEI,12,Gamma3,1000,17.12,27.16,31.21,9.81,19.95,18.67,31.47,21.84,37.72
Uzunköprü,SPEI,3,Lojistik,1000,5.42,7.66,8.56,4.44,6.47,6.21,9.29,6.89,10.48
Uzunköprü,SPEI,6,Lojistik,1000,9.87,13.71,15.23,8.17,11.76,10.92,17.01,11.96,19.15
Uzunköprü,SPEI,9,Gumbel,1000,13.86,20.37,23.03,11.31,16.33,16.08,24.43,17.96,27.93
Uzunköprü,SPEI,12,Gumbel,1000,16.92,24.9,28.14,13.39,20.38,19.31,31.0,21.57,35.49
Çorlu,SPEI,3,Gumbel,1000,5.43,8.08,9.18,4.51,6.43,6.63,9.6,7.51,10.93
Çorlu,SPEI,6,GEV,1000,10.09,16.01,18.75,8.16,12.03,11.59,21.5,12.67,27.51
Çorlu,SPEI,9,GEV,1000,14.17,22.24,26.06,11.45,16.81,15.08,30.55,16.13,39.6
Çorlu,SPEI,12,GEV,1000,17.46,27.96,33.41,14.31,20.68,18.84,39.26,20.1,53.44
İpsala,SPEI,3,Weibull3,1000,5.49,7.8,8.63,4.56,6.37,6.1,9.7,6.62,11.17
İpsala,SPEI,6,Weibull3,990,9.5,13.82,15.41,7.8,11.1,11.38,20.17,12.42,24.99
İpsala,SPEI,9,Weibull3,960,13.62,19.71,21.91,11.03,15.99,15.63,29.39,16.83,36.46
İpsala,SPEI,12,LN3,543,16.2,27.49,32.84,12.8,20.05,20.63,34.63,23.48,44.58
