index,D,n_nonzero,P0,dagilim,AD,AD_krit,uygun,T2,T5,T10,T25,T50,T100
SPI12,1,49,0.169,Gamma3,0.221,0.74,True,0.66,1.36,1.83,2.41,2.83,3.25
SPI12,2,43,0.271,Weibull3,0.39,0.738,True,1.09,2.55,3.43,4.46,5.17,5.83
SPI12,3,39,0.339,Gumbel,0.44,0.737,True,1.5,3.51,4.66,6.08,7.11,8.14
SPI12,4,35,0.407,GEV,0.262,0.735,True,1.78,4.53,6.18,8.35,10.09,11.92
SPI12,5,33,0.441,GEV,0.27,0.734,True,2.06,5.38,7.47,10.48,13.06,15.99
SPI12,6,32,0.458,GEV,0.288,0.733,True,2.13,6.31,8.88,12.58,15.78,19.42
SPI12,7,29,0.508,GEV,0.329,0.731,True,0.0,7.25,10.27,14.47,17.99,21.92
SPI12,8,25,0.576,LN3,0.458,0.728,True,0.0,7.83,11.52,17.0,21.76,27.13
SPI12,9,24,0.593,GEV,0.529,0.726,True,0.0,8.88,12.79,18.31,23.1,28.62
SPI12,10,23,0.61,GEV,0.645,0.725,True,0.0,9.75,14.1,19.81,24.47,29.56
SPI12,11,22,0.627,GEV,0.652,0.724,True,0.0,10.27,15.16,21.38,26.33,31.65
SPI12,12,20,0.661,Gumbel,0.728,0.721,False,0.0,11.05,16.64,22.76,27.09,31.32
SPEI12,1,50,0.153,Gumbel,0.607,0.74,True,0.77,1.47,1.91,2.47,2.88,3.29
SPEI12,2,42,0.288,Gumbel,0.314,0.738,True,1.36,2.77,3.61,4.64,5.4,6.16
SPEI12,3,37,0.373,GEV,0.354,0.736,True,1.81,3.86,5.16,6.9,8.3,9.79
SPEI12,4,36,0.39,GEV,0.289,0.735,True,2.25,4.91,6.63,9.03,11.02,13.22
SPEI12,5,35,0.407,GEV,0.335,0.735,True,2.66,5.92,7.98,10.83,13.19,15.78
SPEI12,6,34,0.424,GEV,0.475,0.734,True,2.88,6.92,9.45,12.98,15.93,19.19
SPEI12,7,33,0.441,GEV,0.373,0.734,True,3.37,7.58,10.37,14.56,18.31,22.68
SPEI12,8,27,0.542,GEV,0.229,0.729,True,0.0,8.07,11.42,16.91,22.3,29.15
SPEI12,9,26,0.559,GEV,0.234,0.729,True,0.0,9.01,12.6,18.31,23.78,30.6
SPEI12,10,24,0.593,GEV,0.219,0.726,True,0.0,9.52,13.37,20.02,26.94,36.2
SPEI12,11,22,0.627,GEV,0.224,0.724,True,0.0,10.32,14.55,21.23,27.7,35.87
SPEI12,12,20,0.661,GEV,0.173,0.721,True,0.0,10.89,15.27,22.53,29.94,39.73
