name,indeks,k,D,n_nonzero,P0,dagilim,AD,uygun,T2,T5,T10,T25,T50,T100
Edirne,SPEI,1,1,59,0.0,Gamma3,0.099,True,1.43,1.81,2.04,2.32,2.52,2.7
Edirne,SPEI,1,2,55,0.068,LN3,0.214,True,2.08,2.88,3.36,3.92,4.32,4.7
Edirne,SPEI,1,3,41,0.305,GEV,0.239,True,2.21,3.5,4.26,5.21,5.92,6.62
Edirne,SPEI,1,4,24,0.593,Lojistik,0.323,True,0.0,3.32,4.1,4.89,5.43,5.95
Edirne,SPEI,3,1,58,0.017,GEV,0.3,True,1.34,1.91,2.33,2.89,3.34,3.81
Edirne,SPEI,3,2,55,0.068,GEV,0.228,True,2.21,3.22,3.95,4.97,5.79,6.67
Edirne,SPEI,3,3,50,0.153,Gumbel,0.291,True,2.91,4.35,5.27,6.41,7.26,8.1
Edirne,SPEI,3,4,42,0.288,Weibull3,0.395,True,2.76,5.06,6.61,8.52,9.91,11.25
Edirne,SPEI,3,5,34,0.424,Weibull3,0.573,True,2.68,5.59,7.29,9.27,10.65,11.96
Edirne,SPEI,3,6,26,0.559,GEV,0.316,True,0.0,5.65,7.49,9.9,11.83,13.9
Edirne,SPEI,3,7,20,0.661,Gumbel,0.405,True,0.0,5.35,7.25,9.31,10.78,12.21
Edirne,SPEI,3,8,16,0.729,Lojistik,0.303,True,0.0,5.65,8.05,9.91,11.1,12.22
Edirne,SPEI,6,1,57,0.034,Gumbel,0.523,True,1.11,1.78,2.22,2.77,3.18,3.59
Edirne,SPEI,6,2,51,0.136,LN3,0.342,True,2.02,3.21,3.95,4.86,5.53,6.18
Edirne,SPEI,6,3,48,0.186,LN3,0.218,True,2.67,4.38,5.47,6.82,7.82,8.82
Edirne,SPEI,6,4,41,0.305,GEV,0.215,True,3.13,5.51,6.9,8.59,9.82,11.03
Edirne,SPEI,6,5,38,0.356,Gumbel,0.231,True,3.82,6.41,7.88,9.67,10.99,12.29
Edirne,SPEI,6,6,33,0.441,Gumbel,0.254,True,3.76,7.19,8.9,10.97,12.47,13.96
Edirne,SPEI,6,7,26,0.559,Gumbel,0.408,True,0.0,7.67,9.59,11.82,13.43,15.01
Edirne,SPEI,6,8,22,0.627,Gumbel,0.482,True,0.0,8.27,10.38,12.75,14.44,16.1
Edirne,SPEI,6,9,18,0.695,GEV,0.179,True,0.0,8.2,10.59,13.47,15.76,18.22
Edirne,SPEI,9,1,55,0.068,Normal,0.289,True,1.09,1.67,1.96,2.28,2.48,2.66
Edirne,SPEI,9,2,48,0.186,Weibull3,0.213,True,1.9,3.1,3.72,4.39,4.82,5.22
Edirne,SPEI,9,3,44,0.254,LN3,0.101,True,2.68,4.38,5.25,6.22,6.86,7.47
Edirne,SPEI,9,4,37,0.373,Lojistik,0.202,True,3.17,5.48,6.46,7.57,8.36,9.13
Edirne,SPEI,9,5,34,0.424,GEV,0.26,True,3.69,6.58,7.97,9.56,10.66,11.71
