name,indeks,k,D,MK_z,MK_p,Sen_egim_10yil
Edirne,SPEI,1,1,3.22,0.0013,0.103
Edirne,SPEI,1,2,2.88,0.0039,0.226
Edirne,SPEI,1,3,1.81,0.0699,0.135
Edirne,SPEI,1,4,0.91,0.3649,0.0
Edirne,SPEI,1,5,1.44,0.1493,0.0
Edirne,SPEI,3,1,1.97,0.049,0.093
Edirne,SPEI,3,2,2.46,0.0139,0.212
Edirne,SPEI,3,3,1.91,0.0557,0.251
Edirne,SPEI,3,4,2.19,0.0288,0.372
Edirne,SPEI,3,5,2.66,0.0079,0.249
Edirne,SPEI,3,6,2.34,0.0194,0.0
Edirne,SPEI,3,7,1.62,0.1042,0.0
Edirne,SPEI,3,8,1.99,0.0471,0.0
Edirne,SPEI,3,9,2.18,0.0291,0.0
Edirne,SPEI,6,1,2.15,0.0314,0.123
Edirne,SPEI,6,2,2.0,0.0451,0.242
Edirne,SPEI,6,3,2.08,0.0375,0.345
Edirne,SPEI,6,4,2.21,0.027,0.364
Edirne,SPEI,6,5,2.44,0.0148,0.482
Edirne,SPEI,6,6,2.16,0.031,0.0
Edirne,SPEI,6,7,1.98,0.0481,0.0
Edirne,SPEI,6,8,1.62,0.1061,0.0
Edirne,SPEI,6,9,1.83,0.0667,0.0
Edirne,SPEI,6,10,2.34,0.0192,0.0
Edirne,SPEI,6,11,2.17,0.0301,0.0
Edirne,SPEI,6,12,2.19,0.0287,0.0
Edirne,SPEI,9,1,2.28,0.0228,0.129
Edirne,SPEI,9,2,2.19,0.0289,0.248
Edirne,SPEI,9,3,2.47,0.0134,0.371
Edirne,SPEI,9,4,2.47,0.0136,0.345
Edirne,SPEI,9,5,2.6,0.0093,0.269
Edirne,SPEI,9,6,3.05,0.0023,0.263
Edirne,SPEI,9,7,2.46,0.014,0.0
Edirne,SPEI,9,8,2.6,0.0093,0.0
Edirne,SPEI,9,9,2.28,0.0225,0.0
Edirne,SPEI,9,10,2.46,0.0137,0.0
Edirne,SPEI,9,11,2.88,0.0039,0.0
Edirne,SPEI,9,12,3.13,0.0018,0.0
Edirne,SPEI,12,1,2.72,0.0065,0.174
Edirne,SPEI,12,2,2.63,0.0086,0.317
Edirne,SPEI,12,3,2.85,0.0044,0.452
Edirne,SPEI,12,4,2.88,0.004,0.498
Edirne,SPEI,12,5,2.7,0.007,0.335
Edirne,SPEI,12,6,2.43,0.0153,0.0
Edirne,SPEI,12,7,2.33,0.02,0.0
Edirne,SPEI,12,8,2.14,0.032,0.0
Edirne,SPEI,12,9,1.9,0.0572,0.0
Edirne,SPEI,12,10,2.28,0.0228,0.0
Edirne,SPEI,12,11,2.5,0.0123,0.0
Edirne,SPEI,12,12,2.34,0.0195,0.0
Edirne,SPI,1,1,2.22,0.0262,0.107
Edirne,SPI,1,2,1.25,0.2114,0.139
Edirne,SPI,1,3,-0.53,0.5952,0.0
Edirne,SPI,1,4,0.05,0.959,0.0
Edirne,SPI,1,5,-0.42,0.6733,0.0
Edirne,SPI,3,1,-0.08,0.9374,-0.006
Edirne,SPI,3,2,0.12,0.9063,0.014
Edirne,SPI,3,3,-0.05,0.9582,0.0
Edirne,SPI,3,4,0.27,0.7887,0.0
Edirne,SPI,3,5,0.57,0.5672,0.0
Edirne,SPI,3,6,-0.1,0.9169,0.0
Edirne,SPI,3,7,-0.89,0.3714,0.0
Edirne,SPI,3,8,-1.8,0.0725,0.0
Edirne,SPI,6,1,-0.09,0.9322,-0.004
Edirne,SPI,6,2,-0.48,0.628,-0.025
Edirne,SPI,6,3,-0.36,0.7184,-0.012
Edirne,SPI,6,4,-0.8,0.4255,-0.041
Edirne,SPI,6,5,-1.48,0.1394,0.0
Edirne,SPI,6,6,-0.71,0.4781,0.0
Edirne,SPI,6,7,-0.47,0.635,0.0
Edirne,SPI,6,8,-0.28,0.777,0.0
Edirne,SPI,6,9,-0.47,0.6354,0.0
Edirne,SPI,6,10,-0.58,0.5617,0.0
Edirne,SPI,6,11,-0.36,0.716,0.0
Edirne,SPI,6,12,0.46,0.6443,0.0
Edirne,SPI,9,1,-0.88,0.3807,-0.045
Edirne,SPI,9,2,-0.6,0.5466,-0.037
Edirne,SPI,9,3,-0.38,0.7028,0.0
Edirne,SPI,9,4,-0.13,0.8934,0.0
Edirne,SPI,9,5,-0.23,0.8198,0.0
Edirne,SPI,9,6,-0.34,0.7358,0.0
Edirne,SPI,9,7,-0.46,0.6474,0.0
Edirne,SPI,9,8,-0.27,0.7875,0.0
Edirne,SPI,9,9,-0.15,0.8784,0.0
Edirne,SPI,9,10,-0.55,0.5806,0.0
Edirne,SPI,9,11,0.17,0.862,0.0
Edirne,SPI,9,12,0.7,0.4821,0.0
Edirne,SPI,12,1,0.35,0.7282,0.004
Edirne,SPI,12,2,0.56,0.5756,0.0
Edirne,SPI,12,3,0.32,0.751,0.0
Edirne,SPI,12,4,0.27,0.79,0.0
Edirne,SPI,12,5,0.04,0.9679,0.0
Edirne,SPI,12,6,0.07,0.941,0.0
Edirne,SPI,12,7,-0.11,0.9086,0.0
Edirne,SPI,12,8,0.03,0.9725,0.0
Edirne,SPI,12,9,0.11,0.9117,0.0
Edirne,SPI,12,10,0.13,0.9001,0.0
Edirne,SPI,12,11,0.34,0.7316,0.0
Edirne,SPI,12,12,0.12,0.9014,0.0
Kırklareli,SPEI,1,1,2.22,0.0266,0.087
Kırklareli,SPEI,1,2,2.55,0.0107,0.234
Kırklareli,SPEI,1,3,1.71,0.0874,0.108
Kırklareli,SPEI,1,4,-0.75,0.4555,0.0
Kırklareli,SPEI,3,1,1.56,0.1181,0.085
Kırklareli,SPEI,3,2,1.29,0.1975,0.14
Kırklareli,SPEI,3,3,0.9,0.3686,0.119
Kırklareli,SPEI,3,4,1.05,0.2955,0.0
Kırklareli,SPEI,3,5,1.16,0.2462,0.0
Kırklareli,SPEI,3,6,2.43,0.015,0.0
Kırklareli,SPEI,3,7,1.75,0.0807,0.0
Kırklareli,SPEI,3,8,1.04,0.3005,0.0
Kırklareli,SPEI,6,1,0.85,0.3952,0.06
Kırklareli,SPEI,6,2,1.62,0.1053,0.172
Kırklareli,SPEI,6,3,1.72,0.0852,0.225
Kırklareli,SPEI,6,4,0.99,0.3225,0.0
Kırklareli,SPEI,6,5,0.91,0.3637,0.0
Kırklareli,SPEI,6,6,0.5,0.6154,0.0
Kırklareli,SPEI,6,7,0.85,0.3969,0.0
Kırklareli,SPEI,6,8,0.74,0.4593,0.0
